distance_bin,n,touch_rate,accept_rate,full_mean,accept_n,accept_resid
<=0.5,399,0.9849624060150376,0.7769423558897243,0.16213726647757248,310,0.24099372601497643
0.5-1,356,0.8567415730337079,0.5168539325842697,0.23024530586063424,184,0.16424727977862302
1-2,822,0.7299270072992701,0.4902676399026764,0.3735640515669685,403,0.335487342659446
>2,1619,0.42124768375540456,0.2890673255095738,0.4052102651653566,468,0.5163130371684183
