flow_id,signal_time,side,origin,entry,atr14,extension_parent_reaccept_time,extension_time,residual_atr,failure_time,origin_reclaim_time,full_reaccept_time,extra_bad_closes_before_reaccept,accept_time,recon_failure_time,recon_reaccept_time,cycle_count,bad_closes,signal_to_accept_h,accept_to_failure_h,failure_to_origin_reclaim_h,failure_to_full_reaccept_h,reaccept_to_extension_h,signal_to_extension_h,accept_to_extension_h,cycle_count_accept_to_extension,origin_bad_close_count_accept_to_extension,clock_order_valid,failure_parity,reaccept_parity
269,2021-05-25 10:00:00+00:00,1,37294.69,37493.84,398.3000000000003,2021-05-25 13:15:00+00:00,2021-05-25 13:30:00+00:00,1.12231985940247,2021-05-25 10:30:00+00:00,2021-05-25 13:15:00+00:00,2021-05-25 13:15:00+00:00,10,2021-05-25 10:15:00+00:00,2021-05-25 10:45:00+00:00,2021-05-25 13:15:00+00:00,1.0,11.0,0.25,0.25,2.75,2.75,0.25,3.5,3.25,1.0,11.0,True,False,True
275,2021-05-28 12:15:00+00:00,-1,36712.71,36449.89964285714,525.6207142857145,2021-05-28 16:00:00+00:00,2021-05-28 16:15:00+00:00,0.5081407152631725,2021-05-28 13:45:00+00:00,2021-05-28 14:45:00+00:00,2021-05-28 16:00:00+00:00,6,2021-05-28 12:30:00+00:00,2021-05-28 13:45:00+00:00,2021-05-28 16:00:00+00:00,1.0,9.0,0.25,1.25,1.0,2.25,0.25,4.0,3.75,1.0,9.0,True,True,True
277,2021-05-29 13:15:00+00:00,1,34292.55,34506.63607142858,428.1721428571436,2021-05-29 21:45:00+00:00,2021-05-29 23:15:00+00:00,-2.25792863684667,2021-05-29 17:45:00+00:00,2021-05-29 20:30:00+00:00,2021-05-29 21:45:00+00:00,13,2021-05-29 13:30:00+00:00,2021-05-29 17:45:00+00:00,2021-05-29 21:45:00+00:00,1.0,17.0,0.25,4.25,2.75,4.0,1.5,10.0,9.75,1.0,17.0,True,True,True
281,2021-05-31 17:00:00+00:00,-1,37008.62,36850.728571428575,315.7828571428566,2021-06-01 02:15:00+00:00,2021-06-01 03:30:00+00:00,-0.5249900474105097,2021-05-31 22:15:00+00:00,2021-05-31 22:30:00+00:00,2021-06-01 02:15:00+00:00,12,2021-05-31 17:15:00+00:00,2021-05-31 22:15:00+00:00,2021-06-01 02:15:00+00:00,1.0,14.0,0.25,5.0,0.25,4.0,1.25,10.5,10.25,1.0,14.0,True,True,True
288,2021-06-04 22:15:00+00:00,1,37101.2,37188.358571428565,174.317142857143,2021-06-05 00:15:00+00:00,2021-06-05 00:30:00+00:00,-3.768746619462023,2021-06-04 23:00:00+00:00,2021-06-05 00:15:00+00:00,2021-06-05 00:15:00+00:00,4,2021-06-04 22:30:00+00:00,2021-06-04 23:00:00+00:00,2021-06-05 00:15:00+00:00,1.0,6.0,0.25,0.5,1.25,1.25,0.25,2.25,2.0,1.0,6.0,True,True,True
290,2021-06-06 04:15:00+00:00,1,35969.14,36075.60035714286,212.9207142857132,2021-06-06 07:30:00+00:00,2021-06-06 07:45:00+00:00,0.0306183723652871,2021-06-06 06:30:00+00:00,2021-06-06 07:30:00+00:00,2021-06-06 07:30:00+00:00,3,2021-06-06 04:30:00+00:00,2021-06-06 06:30:00+00:00,2021-06-06 07:30:00+00:00,1.0,5.0,0.25,2.0,1.0,1.0,0.25,3.5,3.25,1.0,5.0,True,True,True
292,2021-06-07 05:45:00+00:00,-1,36296.24,36203.563214285714,185.3535714285707,2021-06-07 14:00:00+00:00,2021-06-07 14:15:00+00:00,1.996219580338764,2021-06-07 10:15:00+00:00,2021-06-07 14:00:00+00:00,2021-06-07 14:00:00+00:00,14,2021-06-07 06:00:00+00:00,2021-06-07 10:15:00+00:00,2021-06-07 14:00:00+00:00,1.0,16.0,0.25,4.25,3.75,3.75,0.25,8.5,8.25,1.0,16.0,True,True,True
294,2021-06-08 07:00:00+00:00,1,32879.76,33015.8475,272.174999999999,2021-06-08 10:00:00+00:00,2021-06-08 10:15:00+00:00,-1.6021126113713808,2021-06-08 09:15:00+00:00,2021-06-08 10:00:00+00:00,2021-06-08 10:00:00+00:00,2,2021-06-08 07:15:00+00:00,2021-06-08 09:15:00+00:00,2021-06-08 10:00:00+00:00,1.0,5.0,0.25,2.0,0.75,0.75,0.25,3.25,3.0,1.0,5.0,True,True,True
298,2021-06-10 23:30:00+00:00,-1,36862.73,36714.68321428572,296.0935714285718,2021-06-11 06:15:00+00:00,2021-06-11 06:45:00+00:00,-2.665351927841342,2021-06-11 04:45:00+00:00,2021-06-11 06:00:00+00:00,2021-06-11 06:15:00+00:00,4,2021-06-10 23:45:00+00:00,2021-06-11 04:45:00+00:00,2021-06-11 06:15:00+00:00,1.0,7.0,0.25,5.0,1.25,1.5,0.5,7.25,7.0,1.0,7.0,True,True,True
303,2021-06-14 22:00:00+00:00,-1,40216.86,40064.69321428571,304.3335714285718,2021-06-15 01:30:00+00:00,2021-06-15 01:45:00+00:00,-0.3013915651763901,2021-06-14 23:15:00+00:00,2021-06-15 01:00:00+00:00,2021-06-15 01:30:00+00:00,6,2021-06-14 22:15:00+00:00,2021-06-14 23:15:00+00:00,2021-06-15 01:30:00+00:00,1.0,8.0,0.25,1.0,1.75,2.25,0.25,3.75,3.5,1.0,8.0,True,True,True
308,2021-06-18 02:30:00+00:00,1,37568.01,37692.37821428572,248.7364285714284,2021-06-18 10:30:00+00:00,2021-06-18 10:45:00+00:00,-4.679597738282953,2021-06-18 09:45:00+00:00,2021-06-18 10:30:00+00:00,2021-06-18 10:30:00+00:00,2,2021-06-18 02:45:00+00:00,2021-06-18 09:45:00+00:00,2021-06-18 10:30:00+00:00,1.0,6.0,0.25,7.0,0.75,0.75,0.25,8.25,8.0,1.0,6.0,True,True,True
