sample,n,origin_reclaim_n,origin_reclaim_rate,full_reaccept_n,full_reaccept_rate,reaccept_resid,reaccept_t,reaccept_pf,no_reaccept_resid,residual_gap,median_reclaim_h,median_reaccept_h,median_extra_bad,reentry_net,long_reaccept,short_reaccept
LONG,530,404,0.7622641509433963,325,0.6132075471698113,0.01981808125712438,0.0779117439539283,1.0136929379060051,-2.7509004658841514,2.770718547141276,0.75,1.5,3.0,-0.14527953971615096,325,0
SHORT,567,446,0.7865961199294532,376,0.6631393298059964,0.48201360262616516,2.0430553646762175,1.3798345287930303,-2.724455245237743,3.206468847863908,0.75,1.75,4.0,0.33152648259930173,0,376
