flow_id,signal_time,side,signal_close,entry,atr14,failure_time,failure_close,origin_reclaim,origin_reclaim_time,full_reaccept,full_reaccept_time,origin_reclaim_h,full_reaccept_h,failure_to_end_atr,origin_reclaim_residual_atr,reaccept_residual_atr,reentry_net_atr,post_failure_mae_atr,post_failure_mfe_atr,extra_bad_closes_before_reaccept,frozen_time_only_net_atr,frozen_close2_net_atr,terminal_failure_at_horizon
1,2021-01-01 12:00:00+00:00,1,29290.02,29357.46357142857,134.88714285714326,2021-01-01 15:45:00+00:00,29210.84,True,2021-01-01 16:15:00+00:00,False,,0.5,,0.8463371495747732,0.19416231558656474,,,4.327469524787913,1.3141356266084718,24,-0.3494944159667926,-1.1958315655415657,False
8,2021-01-05 01:00:00+00:00,-1,32524.09,32352.47142857143,343.23714285714334,2021-01-05 01:30:00+00:00,32578.44,True,2021-01-05 02:30:00+00:00,True,2021-01-05 02:30:00+00:00,1.0,1.0,2.0553136939891568,1.3767158066476328,1.3767158066476328,1.3295974794602656,0.8807904572432306,7.803467823162647,3,1.349839906603515,-0.7054737873856416,False
11,2021-01-06 13:15:00+00:00,-1,34627.33,34426.46892857143,401.7221428571429,2021-01-06 15:30:00+00:00,34774.56,True,2021-01-06 15:45:00+00:00,True,2021-01-06 20:00:00+00:00,0.25,4.5,-5.539575150557161,-5.958172937584788,-6.5566960816911495,-6.599469377377044,6.63503380979391,1.1066355387785742,16,-6.448920857255642,-0.9093457066984808,False
13,2021-01-07 13:15:00+00:00,-1,38389.09,38210.55607142857,357.06785714285746,2021-01-07 14:15:00+00:00,38534.84,True,2021-01-07 15:00:00+00:00,True,2021-01-07 18:30:00+00:00,0.75,4.25,-0.12260974804710689,-0.9216735514458191,-1.5297932565838959,-1.583049772452228,5.687378349453398,5.16506866441952,14,-1.0843014818111976,-0.9616917337640908,False
14,2021-01-08 01:45:00+00:00,-1,38739.18,38440.298214285714,597.7635714285706,2021-01-08 07:30:00+00:00,38928.55,True,2021-01-08 08:00:00+00:00,True,2021-01-08 09:00:00+00:00,0.5,1.5,-4.07974007879369,-4.424608869488533,-5.091427690594343,-5.123483675461747,4.971614434278249,1.133692370012513,2,-4.928691000323827,-0.8489509215301376,False
16,2021-01-09 02:15:00+00:00,-1,40316.06,40120.89714285714,390.3257142857125,2021-01-09 09:15:00+00:00,40581.84,True,2021-01-09 10:00:00+00:00,False,,0.75,,-1.5674857628061662,-2.3280300701245826,,,2.4544629393766515,1.0935482454214025,19,-2.799798388159359,-1.2323126253531926,False
18,2021-01-10 02:15:00+00:00,1,40973.82,41129.618571428575,311.5971428571434,2021-01-10 03:15:00+00:00,40535.75,True,2021-01-10 06:30:00+00:00,False,,3.25,,-2.3804454469598917,-3.905684079259843,,,6.5332755664365045,2.216034440073724,39,-4.352329319450936,-1.9718838724910444,False
20,2021-01-11 02:15:00+00:00,1,36720.73,37038.78928571429,636.1185714285712,2021-01-11 03:00:00+00:00,35730.86,False,,False,,,,-4.135801276940735,,,,7.207319839293215,1.0518950869447035,45,-6.221023655181091,-2.085222378240357,False
22,2021-01-12 02:15:00+00:00,1,33925.99,34220.824642857144,589.6692857142859,2021-01-12 14:00:00+00:00,33850.0,False,,False,,,,-1.4558329911318308,,,,1.6280312087768318,0.42396646061896665,1,-2.1137188003081624,-0.6578858091763313,False
24,2021-01-13 03:00:00+00:00,1,34085.22,34410.66785714286,650.8957142857151,2021-01-13 03:30:00+00:00,33872.01,True,2021-01-13 07:15:00+00:00,True,2021-01-13 07:15:00+00:00,3.75,3.75,0.8634102017659139,-0.3351688991214354,-0.3351688991214354,-0.36178772548598354,1.604727112308973,2.2328922561656723,14,0.0094128887225744,-0.8539973130433395,False
28,2021-01-15 05:30:00+00:00,-1,38509.99,38357.10357142857,305.7728571428571,2021-01-15 08:30:00+00:00,38543.5,True,2021-01-15 08:45:00+00:00,True,2021-01-15 08:45:00+00:00,0.25,0.25,9.210170014156171,8.531627118168943,8.531627118168943,8.468940030181129,1.0023780490653662,13.295817156526088,0,8.537857297200063,-0.6723127169561082,False
34,2021-01-18 05:30:00+00:00,1,35322.13,35482.015,319.7699999999999,2021-01-18 06:30:00+00:00,35155.0,True,2021-01-18 07:00:00+00:00,True,2021-01-18 07:00:00+00:00,0.5,0.5,1.6328923914063282,-0.8280013759889823,-0.8280013759889823,-0.8842010194827434,0.19554679926196594,7.483316133470941,1,0.5547549566876258,-1.0781374347187025,False
40,2021-01-21 07:00:00+00:00,1,34724.99,34862.82321428572,275.6664285714292,2021-01-21 08:00:00+00:00,34437.03,False,,False,,,,-8.863864971381014,,,,12.349599541889363,0.2647039771152024,44,-10.471694507207188,-1.6078295358261734,False
43,2021-01-22 19:15:00+00:00,-1,33593.5,33420.300357142856,346.3992857142865,2021-01-22 20:30:00+00:00,33629.55,True,2021-01-22 20:45:00+00:00,True,2021-01-22 21:45:00+00:00,0.25,1.25,1.6308636400190502,1.3004934437756506,0.6968259172424793,0.6487513377419444,0.2322464373276827,4.532977014551738,0,0.9785534235883734,-0.6523102164306769,False
50,2021-01-26 12:15:00+00:00,-1,31627.93,31465.07,325.71999999999986,2021-01-26 15:45:00+00:00,31764.99,True,2021-01-26 16:00:00+00:00,False,,0.25,,-1.6830099471939055,-2.501596463219944,,,3.6381247697408785,1.3701952597322948,32,-2.652101605673588,-0.969091658479682,False
52,2021-01-27 12:15:00+00:00,1,30593.52,30758.01785714286,328.9957142857144,2021-01-27 14:00:00+00:00,30419.97,True,2021-01-27 16:00:00+00:00,True,2021-01-27 16:15:00+00:00,2.0,2.25,-0.663200128529688,-1.6861921779267635,-2.1702714321072407,-2.217256527440658,3.586581674967544,3.8136666999570115,7,-1.7374599158912265,-1.0742597873615385,False
