period,active_only,vol_bucket,early_state,N,EV_R,PF,SumR,mean_ret15_to_60_atr,mean_post15_mfe_to_60_atr,mean_post15_mae_to_60_atr,right_tail_share,initial_stop_share
historical,True,P40_60,EXPANSION_PERSISTENT,120,1.0417054014394227,4.1282562474111355,125.00464817273071,0.2477604565470709,1.4407426406521797,1.0573269387834054,0.4083333333333333,0.325
historical,True,P40_60,MIXED,362,0.2860086079068676,1.5602085235480803,103.53511606228608,0.030142261304304096,1.0783064243406009,0.9495972350824499,0.1850828729281768,0.48066298342541436
historical,True,P40_60,FAILED_EARLY,538,-0.29032988563648765,0.6002647284797509,-156.19747847243036,0.028893169838674623,1.0114608267639458,0.8588286737172971,0.10780669144981413,0.6988847583643123
historical,True,P80_100,EXPANSION_PERSISTENT,90,0.7546939883412613,3.325703996584903,67.92245895071352,0.11516451503278058,1.2081769067569852,0.9001953851611505,0.3,0.28888888888888886
historical,True,P80_100,MIXED,266,0.34413396425296394,1.854399781494782,91.53963449128841,0.06680805108744929,0.9255422040626556,0.7783178860363309,0.17669172932330826,0.38721804511278196
historical,True,P80_100,FAILED_EARLY,383,-0.2073241350522328,0.6614252073708882,-79.40514372500516,0.05259546079226958,0.932231306395066,0.7076001929736244,0.10182767624020887,0.5483028720626631
forward_2026,True,P40_60,EXPANSION_PERSISTENT,13,0.9325187846196001,3.7850275134827474,12.122744200054802,-0.04464825754529281,1.068707280250804,1.075215399336489,0.5384615384615384,0.3076923076923077
forward_2026,True,P40_60,MIXED,32,0.4508371504147177,1.942128119400935,14.426788813270967,-0.027909544874648626,1.1405958934527638,0.9632676534353392,0.28125,0.5
forward_2026,True,P40_60,FAILED_EARLY,54,0.04551017376149094,1.0729997583444544,2.4575493831205106,0.025312651837691092,1.0204124711647546,1.0169050304934708,0.16666666666666666,0.6111111111111112
forward_2026,True,P80_100,EXPANSION_PERSISTENT,9,0.855326618005949,3.547583054533654,7.697939562053541,0.1433715902798707,1.0007249403581246,0.7086162539420306,0.4444444444444444,0.3333333333333333
forward_2026,True,P80_100,MIXED,18,-0.05621530239882603,0.9000262109981472,-1.0118754431788686,0.09203213801083152,0.848676091811911,0.6211648076547305,0.1111111111111111,0.5
forward_2026,True,P80_100,FAILED_EARLY,33,-0.35579341116231067,0.4679354742319173,-11.741182568356251,-0.2209767695700264,0.7248421291665393,1.0063486309244365,0.06060606060606061,0.6363636363636364
