period,vol_bucket,N,EV_R,PF,SumR,MaxDD_R,mean_expansion15_atr,median_expansion15_atr,mean_eff15,mean_persist15,expansion_persistent_share,failed_early_share,active15_share,right_tail_share
historical,P0_20,1223,0.17464058370862537,1.2835042715597316,213.58543387564882,19.1109519056655,0.02347067404551621,-0.02592592592586305,-0.014273449700213462,0.4852548378304715,0.12346688470973018,0.5143090760425184,0.910874897792314,0.21259198691741618
historical,P20_40,1232,0.16538055219659295,1.2742323800744604,203.7488403062025,29.30163968555236,0.03217209829583555,-0.011871950694274016,-0.012850328163461471,0.49047619047619045,0.12905844155844157,0.5113636363636364,0.9310064935064936,0.20941558441558442
historical,P40_60,1076,0.048010428957244736,1.078151776995699,51.65922155799534,35.82523053026625,-0.017472774043277434,-0.0652896638974444,-0.02312909364336847,0.4825898389095415,0.1171003717472119,0.54182156133829,0.9479553903345725,0.17007434944237917
historical,P60_80,969,0.17712148251670504,1.323375402027772,171.63071655868717,21.444594188634646,-0.02349550414228449,-0.04810996563581669,-0.023777486526459255,0.48882008943928446,0.1001031991744066,0.5345717234262126,0.9411764705882353,0.18575851393188855
historical,P80_100,776,0.07355237244885049,1.1412461253222244,57.076641020307974,37.17678095300713,-0.005579154709849601,-0.06079430028226391,-0.02117264182668132,0.4862542955326461,0.11984536082474227,0.5360824742268041,0.9523195876288659,0.15077319587628865
forward_2026,P0_20,125,0.12046017157055983,1.1948811864803202,15.057521446319978,13.224990784120962,-0.004109722848543211,-0.040830843647802935,-0.015570873909012075,0.4533333333333333,0.08,0.512,0.936,0.216
forward_2026,P20_40,130,-0.025223965597054924,0.963473674292563,-3.27911552761714,24.345709607380254,-0.04257522108794291,0.019659122755684377,-0.02445089038333973,0.4928205128205128,0.13076923076923078,0.4846153846153846,0.9153846153846154,0.17692307692307693
forward_2026,P40_60,105,0.25372930577079744,1.4562053670035287,26.64157710593373,6.705867230044664,-0.03137251335307115,-0.04491877469688301,-0.038874689339244275,0.4666666666666667,0.13333333333333333,0.5619047619047619,0.9428571428571428,0.24761904761904763
forward_2026,P60_80,99,-0.02162069118938216,0.9647518191022163,-2.140448427748834,12.10407198479372,-0.04812379338672136,-0.03671001230803251,-0.03139464148300463,0.49158249158249157,0.1111111111111111,0.5151515151515151,0.9494949494949495,0.1717171717171717
forward_2026,P80_100,63,-0.12827678295973946,0.7886465809051733,-8.081437326463586,12.365024224287156,-0.0157592101818135,-0.11659287370864518,-0.021010506782749686,0.5058201058201057,0.14285714285714285,0.5714285714285714,0.9523809523809523,0.12698412698412698
