period,active_only,vol_bucket,early_state,N,EV_R,PF,SumR,mean_ret15_to_60_atr,mean_post15_mfe_to_60_atr,mean_post15_mae_to_60_atr,right_tail_share,initial_stop_share
historical,False,P40_60,EXPANSION_PERSISTENT,126,1.091449070079728,4.441519056985386,137.5225828300457,0.23883960583477867,1.4447977725978445,1.0820061675523274,0.42857142857142855,0.30952380952380953
historical,False,P40_60,MIXED,367,0.30123977948419967,1.5948954211304007,110.55499907070129,0.03338503081516358,1.0877896335080501,0.965702764845847,0.1907356948228883,0.4768392370572207
historical,False,P40_60,FAILED_EARLY,583,-0.336909708992713,0.5486837435314739,-196.41836034275167,0.05540584050670004,1.0687203324952206,0.9123182538153531,0.10120068610634649,0.7221269296740995
historical,False,P80_100,EXPANSION_PERSISTENT,93,0.8165123614854154,3.6000802463340777,75.93564961814363,0.13701868482513224,1.2239985283819044,0.8850095105176256,0.3225806451612903,0.27956989247311825
historical,False,P80_100,MIXED,267,0.3511901638736703,1.8751964747524177,93.76777375426997,0.06284245420698219,0.9223189611507743,0.7812398127484359,0.1797752808988764,0.3857677902621723
historical,False,P80_100,FAILED_EARLY,416,-0.270737457577177,0.5793572737288831,-112.62678235210564,0.07827985325135832,0.967305148798068,0.7459394740080681,0.09375,0.5841346153846154
forward_2026,False,P40_60,EXPANSION_PERSISTENT,14,1.0588907744837195,4.405710661597261,14.824470842772074,0.06664775835964323,1.1383222564100244,1.0982658901454083,0.5714285714285714,0.2857142857142857
forward_2026,False,P40_60,MIXED,32,0.4508371504147177,1.942128119400935,14.426788813270967,-0.027909544874648626,1.1405958934527638,0.9632676534353392,0.28125,0.5
forward_2026,False,P40_60,FAILED_EARLY,59,-0.04423190762897136,0.9326227571822424,-2.6096825501093104,0.09878884657430205,1.1094213569085214,0.9813021919439675,0.15254237288135594,0.6440677966101694
forward_2026,False,P80_100,EXPANSION_PERSISTENT,9,0.855326618005949,3.547583054533654,7.697939562053541,0.1433715902798707,1.0007249403581246,0.7086162539420306,0.4444444444444444,0.3333333333333333
forward_2026,False,P80_100,MIXED,18,-0.05621530239882603,0.9000262109981472,-1.0118754431788686,0.09203213801083152,0.848676091811911,0.6211648076547305,0.1111111111111111,0.5
forward_2026,False,P80_100,FAILED_EARLY,36,-0.41020837348161826,0.4115017357374013,-14.767501445338258,-0.16862687090961748,0.7158742386145738,1.0739938701577358,0.05555555555555555,0.6666666666666666
