split,family,clock,n,coverage,resolved_signal_n,accuracy,back_n,through_n,rejection_rate_back,rejection_rate_through,separation
CONFIRMATION,ANCHOR_MEAN,1,32042,0.697178702952375,22036,0.7277636594663278,13348,8688,0.7330686245130357,0.2803867403314917,0.452681884181544
CONFIRMATION,ANCHOR_MEAN,3,32042,0.7714874227576306,24351,0.787811588846454,14181,10170,0.7899301882800931,0.2151425762045231,0.5747876120755699
CONFIRMATION,ANCHOR_MEAN,5,32042,0.7983896136321078,25195,0.8481047826949791,14309,10886,0.8480676497309386,0.1518464082307551,0.6962212415001835
CONFIRMATION,LAGGED_VWAP_SHAPE,1,18543,0.7091624871919323,12895,0.7213648701046917,7485,5410,0.7265197060788243,0.2857670979667283,0.44075260811209604
CONFIRMATION,LAGGED_VWAP_SHAPE,3,18543,0.7837998166423987,14249,0.784335742859148,7992,6257,0.7887887887887888,0.22135208566405626,0.5674367031247325
CONFIRMATION,LAGGED_VWAP_SHAPE,5,18543,0.816642398748854,14814,0.8427838531119212,8171,6643,0.8461632603108554,0.16137287370164083,0.6847903866092147
CONFIRMATION,VWAP_VOLUME,1,33727,0.701129658730394,23373,0.7252813074915501,14220,9153,0.7310829817158931,0.28373210969081175,0.4473508720250814
CONFIRMATION,VWAP_VOLUME,3,33727,0.771577667743944,25672,0.7900825802430663,15088,10584,0.7924178154825027,0.2132464096749811,0.5791714058075216
CONFIRMATION,VWAP_VOLUME,5,33727,0.8019687490734426,26683,0.850653974440655,15266,11417,0.8526791562950348,0.15205395462906193,0.7006252016659729
DISCOVERY,ANCHOR_MEAN,1,35805,0.6964949029465158,24566,0.7182691524871774,14761,9805,0.7221055484045796,0.28750637429882714,0.4345991741057525
DISCOVERY,ANCHOR_MEAN,3,35805,0.7672112833403156,27054,0.7863162563761367,15582,11472,0.7898857656270055,0.21853207810320782,0.5713536875237977
DISCOVERY,ANCHOR_MEAN,5,35805,0.8013126658287949,28249,0.8492336011894226,15993,12256,0.8495591821421872,0.15119125326370758,0.6983679288784796
DISCOVERY,LAGGED_VWAP_SHAPE,1,20963,0.7178361875685731,14787,0.7177926557110976,8688,6099,0.7260589318600368,0.293982620101656,0.4320763117583808
DISCOVERY,LAGGED_VWAP_SHAPE,3,20963,0.7864332395172446,16181,0.7828935170879426,9190,6991,0.7887921653971708,0.22486053497353742,0.5639316304236334
DISCOVERY,LAGGED_VWAP_SHAPE,5,20963,0.820397843820064,16871,0.8447632031296307,9407,7464,0.8504305304560433,0.16237942122186494,0.6880511092341783
DISCOVERY,VWAP_VOLUME,1,37834,0.702648411481736,26254,0.7179858307305553,15932,10322,0.7240773286467487,0.29141639217205967,0.432660936474689
DISCOVERY,VWAP_VOLUME,3,37834,0.7718189987841624,28819,0.7852805440854992,16845,11974,0.7889581478183437,0.2198931017203942,0.5690650460979495
DISCOVERY,VWAP_VOLUME,5,37834,0.8030871702701274,29985,0.8442888110722028,17181,12804,0.8456434433385717,0.15752889721961888,0.6881145461189528
