flow_id,signal_time,touch_time,class_time,side,state,activation_state,high_volume,atr14,residual_atr,fut_netdelta_norm_15,fut_disp_atr_15,fut_response_eff_15,fut_absorption_gap_15,fut_netdelta_norm_30,fut_disp_atr_30,fut_response_eff_30,fut_absorption_gap_30,fut_netdelta_norm_60,fut_disp_atr_60,fut_response_eff_60,fut_absorption_gap_60,spot_netdelta_norm_15,spot_disp_atr_15,spot_response_eff_15,spot_absorption_gap_15,spot_netdelta_norm_30,spot_disp_atr_30,spot_response_eff_30,spot_absorption_gap_30,spot_netdelta_norm_60,spot_disp_atr_60,spot_response_eff_60,spot_absorption_gap_60,fut_minus_spot_netdelta_60,fut_minus_spot_absorption_gap_60,mechanism_cell
0,2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+00:00,2021-01-01 01:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,178.38500000000073,-0.8763629228914845,1.4392081166999278,0.37777840065027407,0.2624904600430628,1.0614297160496537,1.2672333778231522,0.8729433528603892,0.6888576075544407,0.394290024962763,-0.15042832918121593,0.3549625809344925,1.41985032373797,-0.5053909101157085,0.9384772427528584,0.36449253020153133,0.38838718042043985,0.5739847125513271,2.8108368003278787,0.8885276228382395,0.31610786607553826,1.9223091774896393,1.030785255982402,0.40081845446646136,0.38884767912639245,0.6299668015159406,-1.1812135851636179,-1.1353577116316491,WEAK
1,2021-01-01 12:00:00+00:00,2021-01-01 12:30:00+00:00,2021-01-01 13:15:00+00:00,1,REJECT,LOWVOL_REJECT,False,134.88714285714326,-0.7069613751178255,3.018587024668403,1.4083625464674216,0.46656350635514066,1.6102244782009814,0.9148255985752276,1.0230774933542295,1.1183306358584588,-0.10825189477900188,0.4173017915796394,0.5619512608424172,1.3466303576489016,-0.14464946926277777,4.118383076934693,1.361582698764041,0.3306109881787551,2.7568003781706523,1.275614416342932,0.9649548299636693,0.7564627818570013,0.3106595863792626,2.539344074996321,0.5730716683788762,0.2256770455101507,1.9662724066174446,-2.1220422834166817,-2.1109218758802224,WEAK
2,2021-01-02 00:45:00+00:00,2021-01-02 05:30:00+00:00,2021-01-02 05:45:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,117.40642857142848,8.785464412389183,3.8273872056016147,0.7347979241827881,0.19198421395864168,3.0925892814188267,2.797615338857529,1.2966921986506117,0.46349910248209675,1.5009231402069174,2.4217021050240053,1.6904525792576572,0.698043155576685,0.731249525766348,4.2260603108009995,0.6820750871514856,0.16139738597866965,3.543985223649514,3.8390485026531,1.246439413758071,0.32467404694071417,2.592609088895029,2.6128838288874596,1.6442881565258918,0.6293001389296414,0.9685956723615678,-0.19118172386345433,-0.2373461465952198,WEAK
3,2021-01-02 13:00:00+00:00,2021-01-02 13:15:00+00:00,2021-01-02 13:30:00+00:00,1,ACCEPT,IGNITION,True,244.44285714285743,4.576447899012312,1.5954907719855291,0.6324995616854672,0.3964294703493301,0.962991210300062,3.0071861365119075,0.3115656595172686,0.10360704172394848,2.695620476994639,12.503764975502223,3.6856875693997915,0.2947662225434426,8.818077406102432,1.837703251525233,0.6281222605341621,0.3417974365626449,1.2095809909910709,0.9133740068279246,0.2557243878206933,0.27997773738799925,0.6576496190072313,22.24467945248136,3.589427853427615,0.16136118576557953,18.655251599053745,-9.740914476979137,-9.837174192951313,EFFICIENT_IGNITION
6,2021-01-04 01:00:00+00:00,2021-01-04 07:15:00+00:00,2021-01-04 07:30:00+00:00,-1,ACCEPT,IGNITION,True,384.2507142857131,2.9643926677336867,2.6707608361176933,0.9381635130337125,0.3512720047211184,1.7325973230839808,1.926713948059901,0.7071684967589901,0.3670334651758095,1.219545451300911,1.3415933151195263,0.616316355950636,0.4593913438631935,0.7252769591688902,5.189176223275646,0.7780336870830243,0.1499339497458604,4.411142536192622,2.562776279156915,0.33980418290885256,0.13259221480723205,2.2229720962480624,-2.68262169078101,0.5915408652461006,0.2205084925984779,-3.2741625560271106,4.024215005900536,3.9994395151960007,WEAK
8,2021-01-05 01:00:00+00:00,2021-01-05 04:15:00+00:00,2021-01-05 05:00:00+00:00,-1,REJECT,ABSORPTION,True,343.23714285714334,-2.2520290011903428,2.2047898412409683,1.4039855826459031,0.6367888478004182,0.8008042585950652,8.37207398994324,3.0263333139104116,0.36147952317976695,5.345740676032829,10.643003077322875,5.135225125485908,0.4824977582152137,5.507777951836967,11.839238328699938,1.5089567396135937,0.12745386972704786,10.330281589086345,11.073939265956913,3.0200694230561043,0.2727186189597669,8.05386984290081,5.408977811536353,5.179596780235237,0.9575925360958427,0.22938103130111553,5.2340252657865225,5.278396920535852,EFFICIENT_IGNITION
9,2021-01-05 13:15:00+00:00,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,284.3714285714286,2.033185974078168,3.1102848728401082,1.176384004822675,0.3782238775281308,1.9339008680174332,1.9871960323356523,1.560634984426816,0.7853452598697686,0.4265610479088364,0.9763264685183786,0.9687330453129821,0.992222454834273,0.007593423205396466,3.3959237517716527,1.1101677886064527,0.32691187133612126,2.2857559631652,0.12943776966135112,1.5342610268260797,6.137044107304319,-1.4048232571647286,-1.866930959712001,0.9594142469607085,0.513899157314693,-2.8263452066727095,2.8432574282303795,2.833938629878106,WEAK
10,2021-01-06 01:15:00+00:00,2021-01-06 04:00:00+00:00,2021-01-06 04:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,358.02499999999884,-0.1778367432441825,6.2262947820121015,1.1631031352559167,0.1868050222447139,5.063191646756184,2.393669066490672,1.165337616088269,0.48684157405131845,1.2283314504024032,1.428119822276717,0.7314014384470399,0.5121429077855914,0.6967183838296772,10.253704540965028,1.0753439005656065,0.10487369674730265,9.178360640399422,4.896916785576741,1.1077159416241822,0.22620681341509044,3.7892008439525586,1.486648160691065,0.6823266531666626,0.45896982972049327,0.8043215075244025,-0.05852833841434801,-0.10760312369472524,WEAK
12,2021-01-07 01:15:00+00:00,2021-01-07 03:15:00+00:00,2021-01-07 03:15:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,417.3914285714293,1.6246140998172256,2.7980793982987473,0.30175511852527226,0.10784365829959706,2.496324279773475,1.3686967798130834,0.5721967047033649,0.4180595097049232,0.7965000751097184,-0.4101284459934788,0.684585212921079,1.6691971005882487,-1.0947136589145579,1.629507207438736,0.3659155160965622,0.22455593594563428,1.2635916913421739,-0.7232314490605022,0.6712643835522664,0.9281460097237993,-1.3944958326127685,-2.470240185856015,0.7760341440374467,0.31415331532570256,-3.2462743298934615,2.060111739862536,2.1515606709789035,WEAK
14,2021-01-08 01:45:00+00:00,2021-01-08 02:30:00+00:00,2021-01-08 03:15:00+00:00,-1,REJECT,ABSORPTION,True,597.7635714285706,-5.209434212523106,7.594559471929704,0.5498160405033469,0.07239604121022757,7.044743431426356,7.759797842141952,1.457131283390826,0.18777954181711148,6.302666558751126,6.276797273024128,1.1885301044727432,0.1893529538672062,5.0882671685513845,13.74107622812481,0.549230524729686,0.03996997874195167,13.191845703395124,9.480870038966309,1.441907873275279,0.15208602874515187,8.03896216569103,10.808830034300293,1.1651763896141467,0.10779856708974277,9.643653644686147,-4.532032761276165,-4.555386476134762,ABSORPTION
15,2021-01-08 13:45:00+00:00,2021-01-08 15:00:00+00:00,2021-01-08 15:45:00+00:00,1,REJECT,ABSORPTION,True,706.8350000000007,-0.8918630231949476,0.516868853388964,0.1998486209652916,0.38665247413331305,0.31702023242367244,-0.05418089732925394,0.399301109877125,1.5972044395085,-0.453482007206379,-1.015509401886183,0.2726661809333197,0.2685018774093829,-1.2881755828195027,-0.06803248604332211,0.18499366896092387,0.7399746758436955,-0.25302615500424597,0.1271859954446402,0.35541533738424613,1.4216613495369845,-0.22822934193960592,-2.441444947759109,0.2022395608593193,0.08283601112732268,-2.6436845086184286,1.4259355458729261,1.355508925798926,WEAK
21,2021-01-11 14:15:00+00:00,2021-01-11 14:15:00+00:00,2021-01-11 15:00:00+00:00,-1,REJECT,ABSORPTION,True,1054.7757142857142,-1.0436815951393852,19.65524599803668,1.5918455243701108,0.08098832874079098,18.06340047366657,20.274461020639727,2.3540075547543595,0.11610703497162968,17.920453465885366,15.12137343271626,2.6976066679036665,0.178396934637378,12.423766764812592,24.240816787843254,1.59498363226847,0.06579743769477078,22.645833155574785,20.326974357103293,2.370352261753686,0.11661116997106667,17.95662209534961,15.638126382016626,2.704394840880186,0.1729359882901419,12.93373154113644,-0.5167529493003666,-0.509964776323848,EFFICIENT_IGNITION
22,2021-01-12 02:15:00+00:00,2021-01-12 05:45:00+00:00,2021-01-12 05:45:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,589.6692857142859,-5.004347473220453,2.3879613904904295,0.32289285640740745,0.13521695019578733,2.065068534083022,-0.03666694817694445,-0.14285973857016354,-0.5714389542806542,0.10619279039321909,1.7707824882995054,0.866892701356814,0.48955346412381623,0.9038897869426914,1.1133190179228065,0.32731906625627044,0.29400294164288276,0.7859999516665361,-1.9644831935823102,-0.11642119008595837,-0.05926301149650453,-1.8480620034963517,0.08431879631461571,0.8724042653448606,3.4896170613794424,-0.7880854690302449,1.6864636919848897,1.6919752559729364,WEAK
25,2021-01-13 16:15:00+00:00,2021-01-13 18:30:00+00:00,2021-01-13 18:30:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,343.4864285714289,4.369896086557793,3.229084156888926,0.9648416136216532,0.29879729568622754,2.264242543267273,2.6645606823151633,0.958524042330632,0.35973061101306836,1.7060366399845313,2.3172136223739384,0.754440287721908,0.3255808098301266,1.5627733346520305,12.497747627618217,0.8740083305433118,0.06993326770432455,11.623739297074906,7.084337898199699,0.8460596280576488,0.11942677498099757,6.23827827014205,4.5078160196199475,0.6717878227669625,0.14902733825938191,3.8360281968529852,-2.190602397246009,-2.2732548622009547,WEAK
26,2021-01-14 04:15:00+00:00,2021-01-14 07:00:00+00:00,2021-01-14 07:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,352.41285714285704,3.875284264803045,0.7284466696842583,-0.060497225251226444,-0.08304962843395067,0.7889438949354848,0.9834736335996165,-0.48099834204201025,-0.48908107508841486,1.4644719756416267,3.0691737455878805,0.9178439249419288,0.29905244897307753,2.1513298206459517,-1.908273542748618,-0.11568817417883595,-0.06062452346962915,-1.792585368569782,-2.506700768828381,-0.45980161255670354,-0.18342899889547346,-2.046899156271677,-0.1865816536130195,0.8742586819841949,3.4970347279367795,-1.0608403355972145,3.2557553992009,3.2121701562431664,WEAK
28,2021-01-15 05:30:00+00:00,2021-01-15 05:45:00+00:00,2021-01-15 05:45:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,305.7728571428571,6.960101102125292,0.4756309408008994,0.8830410996024194,1.8565678215035701,-0.40741015880152,-0.7222538984675406,0.8823543152947428,1.2216677780028589,-1.6046082137622835,-1.6627603603563044,0.6214416864058889,0.37374097989245025,-2.2842020467621933,1.6113894686300585,0.9118533365102939,0.5658801638349521,0.6995361321197646,1.5889193458671793,0.9210758686419873,0.5796869872833569,0.667843477225192,1.5987326057352669,0.6411949112553127,0.40106451132296966,0.9575376944799542,-3.2614929660915712,-3.2417397412421476,WEAK
30,2021-01-16 05:30:00+00:00,2021-01-16 09:00:00+00:00,2021-01-16 09:45:00+00:00,1,REJECT,LOWVOL_REJECT,False,436.86500000000007,-0.9316150298146976,1.0915273274310788,0.13809758163277383,0.12651775009407043,0.953429745798305,3.9427001087206914,1.9819852814942842,0.5026974476477212,1.9607148272264072,2.8464551389913666,2.0971467158046493,0.7367573397091258,0.7493084231867173,1.486749273254226,0.1568905726025222,0.10552591174913914,1.3298587006517038,7.266392180242161,1.9335263754249075,0.26609166247347665,5.332865804817254,4.2271859043961495,2.035960765911671,0.48163501959881433,2.1912251384844783,-1.380730765404783,-1.441916715297761,THIN_LIQUIDITY
31,2021-01-16 17:30:00+00:00,2021-01-16 22:00:00+00:00,2021-01-16 22:45:00+00:00,-1,REJECT,LOWVOL_REJECT,False,378.02499999999935,1.2015342900601809,-0.5621478065858743,-0.23342371536273557,-0.4152354818929237,-0.3287240912231387,4.829512229802062,1.472045499636273,0.3048021062153113,3.357466730165789,4.501781263016367,2.1009192513722788,0.4666862134400066,2.4008620116440884,1.7899430297504237,-0.19387606639772767,-0.10831409892680233,1.9838190961481514,24.311145976635444,1.38549037762053,0.056989924660568216,22.925655599014913,13.507744916370905,2.0811322002513126,0.15406955144148854,11.426612716119593,-9.005963653354538,-9.025750704475504,EFFICIENT_IGNITION
34,2021-01-18 05:30:00+00:00,2021-01-18 12:00:00+00:00,2021-01-18 12:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,319.7699999999999,-5.175501141445419,7.199381295581738,1.561497326203208,0.21689326653131974,5.63788396937853,4.163308493572916,1.3007161397254288,0.3124236750011204,2.8625923538474867,-1.4566311915451526,0.6573787409700697,0.4513007443378589,-2.114009932515222,-0.2736587267160072,1.560090064734036,5.7008599121088475,-1.8337487914500432,0.046356705354649544,1.3399318259999413,5.359727303999765,-1.2935751206452917,0.0963797653563758,0.7050379960596816,2.8201519842387266,-0.6086582307033058,-1.5530109569015285,-1.5053517018119162,WEAK
36,2021-01-19 05:30:00+00:00,2021-01-19 08:15:00+00:00,2021-01-19 08:15:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,225.52714285714268,-1.0121176418422646,-2.0960226170522116,-0.6321190354027608,-0.3015802550316731,-1.4639035816494508,-0.08429417707988471,1.5545800632169982,6.218320252867993,-1.6388742402968828,-0.0024815803065780335,2.0150567875897316,8.060227150358926,-2.0175383678963095,2.856466004991152,-0.7707719691643155,-0.26983411243737276,3.6272379741554674,4.391869559831223,1.3666204257960686,0.3111705407408746,3.025249134035154,2.0757741571410766,1.8473164459139981,0.8899409598866339,0.22845771122707847,-2.0782557374476545,-2.2459960791233877,THIN_LIQUIDITY
37,2021-01-19 18:00:00+00:00,2021-01-19 19:30:00+00:00,2021-01-19 19:30:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,304.1257142857129,2.6455178309721656,3.181089932863213,0.8190691819172512,0.25748067461268825,2.3620207509459616,1.7649306250290104,0.19413024689038744,0.1099931318191028,1.570800378138623,3.770486616747809,1.916082635000583,0.5081791370083893,1.8544039817472258,3.1080960671668887,0.7823738303709105,0.251721251037155,2.3257222367959782,1.6384012378362784,0.21711416331591915,0.13251586870298426,1.4212870745203592,2.7739591653577502,1.8869499455112482,0.6802371026495962,0.887009219846502,0.9965274513900586,0.9673947619007237,EFFICIENT_IGNITION
38,2021-01-20 06:00:00+00:00,2021-01-20 09:30:00+00:00,2021-01-20 10:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,327.8178571428569,-0.5454248330410054,0.4292007055712948,-0.01085968906948925,-0.025302123059267292,0.44006039464078406,1.3729960753686037,0.49985074464260637,0.3640583928897343,0.8731453307259973,0.4877982161452981,1.665528549172576,3.4143801556594315,-1.177730333027278,-0.8964239087565805,0.005978929937135778,0.006669757331025546,-0.9024028386937163,1.3303852781007446,0.5284641950560467,0.3972264303844982,0.8019210830446979,1.851104452568491,1.6760221813071305,0.9054174003965979,0.17508227126136044,-1.363306236423193,-1.3528126042886384,WEAK
41,2021-01-21 19:15:00+00:00,2021-01-21 22:00:00+00:00,2021-01-21 22:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,535.3664285714286,-1.1503336166283946,3.8637398005391046,0.9927592983710717,0.2569425866184241,2.870980502168033,2.9390898379772263,1.3284172522691375,0.45198252707491104,1.6106725857080888,1.6212649548868745,1.2541130040439588,0.773539821645911,0.36715195084291574,9.617942125449542,0.9890048604894102,0.10282915488464578,8.62893726496013,6.779793748826885,1.3088605534527107,0.19305315204893722,5.470933195374174,3.030649584114557,1.2202857055181149,0.40264823485841467,1.8103638785964422,-1.4093846292276826,-1.4432119277535265,WEAK
42,2021-01-22 07:15:00+00:00,2021-01-22 18:30:00+00:00,2021-01-22 18:30:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,383.2050000000002,1.66827155178038,-0.7563365743114031,0.14879764094936238,0.1967346892946877,-0.9051342152607655,-0.7414142278761372,0.4544043005701933,0.612888562810407,-1.1958185284463305,-0.9290742934105071,0.44887201367413865,0.4831389877620978,-1.3779463070846458,-1.4673284457341462,0.16779530538484425,0.11435429189195026,-1.6351237511189904,-1.7377842505178889,0.44086063595203245,0.2536912368843535,-2.1786448864699213,-1.9971681966860952,0.424890071893633,0.2127462637341481,-2.422058268579728,1.0680939032755883,1.0441119614950822,WEAK
44,2021-01-23 07:15:00+00:00,2021-01-23 11:15:00+00:00,2021-01-23 11:15:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,304.45071428571435,-1.9712550236843445,-1.3983403133616101,0.3391025054489284,0.2425035609777465,-1.7374428188105386,-1.713690662157842,0.12494633191861035,0.0729106685808048,-1.8386369940764524,0.2463513481833301,0.518014879255612,2.072059517022448,-0.27166353107228186,0.5675233681401936,0.3446863320593719,0.607351787449614,0.22283703608082167,-0.4010468278313886,0.12047927063024604,0.3004119775282175,-0.5215260984616347,-0.17900914707871798,0.5060589211014673,2.0242356844058693,-0.6850680681801853,0.4253604952620481,0.4134045371079034,WEAK
46,2021-01-24 08:30:00+00:00,2021-01-24 16:30:00+00:00,2021-01-24 17:15:00+00:00,-1,REJECT,LOWVOL_REJECT,False,187.5864285714285,0.8396662871590537,2.7367217983027925,0.5747217473088473,0.21000371600257914,2.162000050993945,2.233934838161684,1.4031398859954036,0.6281024235917527,0.8307949521662805,1.3672694807227903,2.495329771800429,1.8250460549161847,-1.1280602910776385,0.1322830864862991,0.6240323508021136,2.4961294032084544,-0.4917492643158145,0.8550917911475377,1.5418492809028963,1.8031389107755629,-0.6867574897553586,0.8699433747307695,2.550877500276075,2.9322339526587253,-1.6809341255453054,0.49732610599202076,0.5528738344676669,THIN_LIQUIDITY
