cell,n,accept_n,accept_rate,residual_mean,residual_hit,netdelta,response,abs_gap
EFFICIENT_IGNITION,212,131,0.6179245283018868,0.965139219322646,0.5330188679245284,7.444783386421992,3.276796401141483,4.167986985280509
ABSORPTION,72,42,0.5833333333333334,-0.37862454762270636,0.4861111111111111,5.470930797876436,1.099745901510203,4.371184896366232
THIN_LIQUIDITY,72,50,0.6944444444444444,-0.023196853549197687,0.5,1.7379936428606122,2.5885807779349994,-0.8505871350743875
WEAK,212,142,0.6698113207547169,0.08336851678673693,0.4669811320754717,0.28620877381508875,0.5583540044829104,-0.2721452306678216
