module,N,WR,EV,sumR,PF,maxDD,max_consec_losses
LONBUY,37,0.5135135135,0.6601351351,24.425,2.9968116416,3.416,4
NYBUY,98,0.4285714286,1.2987653061,127.279,2.7221741131,15.4,12
