half,start,end,N,WR,EV,sumR,PF,maxDD,max_consec_losses
EARLY,2023-01-09 16:45:00,2024-10-01 18:15:00,54,0.2962962963,-0.0076851852,-0.415,0.9904441732,15.451,8
LATE,2024-10-17 15:45:00,2026-05-11 16:05:00,81,0.5555555556,1.8780123457,152.119,4.5617551336,7.99,6
