cell,window,selected_rev,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975
P975_T20,2025_H2,16,10,7,1.1666666666666667,1.057500461345289,7.4025032294170225,7.8414769986886075,1.0820036712592849,1,5,2,0,0.0,0.665047618643067,1.7599021197615743,0.0,0.7359914490854933
P975_T20,2026_JAN_JUL,22,10,8,1.1428571428571428,0.8130062454507482,6.504049963605985,4.096184296045927,1.065786027699839,1,8,1,1,-0.6551204636177932,0.8320054049638762,-0.6551204636177932,-0.06777108244321998,0.7406038372990115
P975_T20,POOLED_RECENT,38,20,15,1.1538461538461537,0.9271035462015339,13.906553193023008,5.369461296043791,1.0820036712592849,1,13,3,1,-0.6551204636177932,0.41892895683922166,6.747382765799229,-0.03275602318088966,0.6561260255083676
P975_T20,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,
P975_T25,2025_H2,27,16,11,1.8333333333333333,0.7132695227143734,7.845964749858105,3.4253937788984636,1.0962962855717313,1,9,3,1,-1.056624127711451,0.5092191785317814,3.299659925774388,-0.1056624127711451,0.4284571077556426
P975_T25,2026_JAN_JUL,28,15,12,1.7142857142857142,0.5886883232833969,7.064259879400763,2.6186818500017757,2.0793327575442833,2,9,2,2,-1.6995729636177932,0.752744804375659,-1.5384578927135264,-0.21777610299026695,0.6884771958356686
P975_T25,POOLED_RECENT,55,31,23,1.7692307692307692,0.6482706360547335,14.91022462925887,2.9620964337328295,2.0793327575442833,2,18,5,3,-1.6995729636177932,0.3821841254875217,6.307506857144581,-0.044734366104537744,0.5230022989219881
P975_T25,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,
P975_T30,2025_H2,32,19,13,2.1666666666666665,0.8073040769723833,10.494953000640983,4.24426562304486,1.0962962855717313,1,10,3,1,-1.056624127711451,0.5076203305749407,4.6216845414785865,-0.07044160851409673,0.47948280171027446
P975_T30,2026_JAN_JUL,36,20,17,2.4285714285714284,0.23118214437450102,3.9300964543665184,1.443471248700749,4.497917044870952,4,10,3,2,-1.6995729636177934,0.6724961415479981,-0.1747042728768191,-0.15409281432809804,0.3520360936198309
P975_T30,POOLED_RECENT,68,39,30,2.3076923076923075,0.4808349818335836,14.425049455007503,2.1924439209876168,4.497917044870952,4,20,6,3,-1.6995729636177934,0.3243604055838218,8.551780995845107,-0.010198919848139145,0.3793309444392234
P975_T30,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,
P975_T40,2025_H2,48,37,23,3.8333333333333335,0.2918700827065429,6.713011902250487,1.59836994013817,4.57192961603932,3,7,3,1,-2.2426640157565876,0.4665908083623817,2.2186348460850036,-0.13422978298739782,0.2981488202145906
P975_T40,2026_JAN_JUL,57,39,26,3.7142857142857144,0.06025637633896844,1.5666657848131784,1.100983305052473,5.737219859491521,5,9,2,3,-1.2190864965986394,0.5860950175037736,-1.5510565471726938,-0.15121704185890641,0.19188904777464913
P975_T40,POOLED_RECENT,105,76,49,3.769230769230769,0.16897301402170742,8.279677687063664,1.3097181980924122,5.73721985949152,5,16,5,4,-2.2426640157565876,0.28592423799066136,3.785300630898181,-0.06015331257624703,0.20043149801385865
P975_T40,AUG2026_REUSED_AUDIT,3,0,0,0.0,,0.0,,0.0,0,1,0,0,0.0,,0.0,0.0,0.0
P970_T20,2025_H2,20,11,8,1.3333333333333333,0.45122316348713165,3.609785307897053,2.0475673981107017,1.200929553264599,1,7,2,1,-1.200929553264599,0.5972161283954475,0.5589725664969754,-0.26687323405879976,0.3268727937214369
P970_T20,2026_JAN_JUL,31,20,12,1.7142857142857142,0.3915622341360889,4.698746809633067,1.8844958371212925,4.186354336546382,4,9,2,1,-2.783802719512999,0.7132228774503284,-1.3154023077939225,-0.19200349457659516,0.4736068342083735
P970_T20,POOLED_RECENT,51,31,20,1.5384615384615385,0.41542660587650604,8.30853211753012,1.948655465145249,4.186354336546382,4,16,4,2,-2.783802719512999,0.41836548518613065,2.2943830001031307,-0.11563143735501237,0.3769840478545569
P970_T20,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,
P970_T25,2025_H2,32,18,12,2.0,0.151843226655923,1.8221187198710762,1.2741681011099786,4.363057729544698,2,11,2,2,-2.1038206231539545,0.5023973797615323,-1.3502337205902073,-0.3357417183963354,0.22786083983509464
P970_T25,2026_JAN_JUL,37,25,17,2.4285714285714284,0.39057897095633853,6.639842506257757,1.8704632317966912,4.186354336546382,4,10,3,2,-2.4473694386830873,0.601613182237492,-0.8178539560597438,-0.16535306397390412,0.515060686081238
