trade_index,entry_ts,year,quality,raw_R,risk_mult,weighted_R,equity_R,drawdown_R,exit_reason
1,1609653840,2021,-1,-0.6205942767246969,0.75,-0.46544570754352266,-0.46544570754352266,0.46544570754352266,-4
2,1609751460,2021,0,-1.0008591038063688,1.0,-1.0008591038063688,-1.4663048113498913,1.4663048113498913,-1
3,1609780440,2021,0,0.10789854280808278,1.0,0.10789854280808278,-1.3584062685418086,1.3584062685418086,-3
4,1609806720,2021,0,1.0863085888446478,1.0,1.0863085888446478,-0.2720976796971608,0.2720976796971608,-3
5,1609912140,2021,-1,0.14902386106130763,0.75,0.11176789579598073,-0.16032978390118008,0.16032978390118008,-2
6,1609968000,2021,1,0.6657700423258809,1.5,0.9986550634888214,0.8383252795876412,0.0,-4
7,1610046060,2021,-1,0.056171413363333624,0.75,0.04212856002250022,0.8804538396101415,0.0,-3
8,1610197080,2021,0,-0.2793052871339816,1.0,-0.2793052871339816,0.6011485524761598,0.2793052871339816,-3
9,1610282820,2021,0,-1.0009978076487376,1.0,-1.0009978076487376,-0.39984925517257774,1.2803030947827192,-1
10,1610306580,2021,0,-1.0008036707413706,1.0,-1.0008036707413706,-1.4006529259139482,2.2811067655240898,-1
11,1610481900,2021,0,-0.3324089899850537,1.0,-0.3324089899850537,-1.733061915899002,2.6135157555091433,-3
12,1610571000,2021,0,-1.0012957830699039,1.0,-1.0012957830699039,-2.734357698968906,3.6148115385790476,-1
13,1610618160,2021,1,-0.0329214344041325,1.5,-0.04938215160619874,-2.7837398505751048,3.6641936901852463,-3
14,1610633100,2021,1,0.6303822690858878,1.5,0.9455734036288317,-1.838166446946273,2.7186202865564146,-4
15,1610715780,2021,1,-0.08611499613287293,1.5,-0.1291724941993094,-1.9673389411455824,2.8477927807557237,-3
16,1610731020,2021,0,-0.2933454440421374,1.0,-0.2933454440421374,-2.26068438518772,3.1411382247978614,-4
17,1610757120,2021,0,0.4290507492211764,1.0,0.4290507492211764,-1.8316336359665435,2.712087475576685,-3
18,1610872800,2021,0,0.5713773086979815,1.0,0.5713773086979815,-1.260256327268562,2.1407101668787036,-3
