period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,BASELINE_V191F,5403,0.7210808809920415,-0.000603765852301796,0.9978344428262406,-3.262146899986604,52.94598730094388,-0.06161273150776526,6
historical,DUAL_A_SCALP_COUNTER_MIXED,5404,0.6204663212435233,-0.028310314898889386,0.9111484300984184,-152.98894171359825,156.23275301017355,-0.979237315901589,8
historical,DUAL_B_SCALP_COUNTER_MIXED_TP08,5404,0.619541080680977,-0.044115701726274305,0.8621362604259798,-238.40125212878633,241.00300648985785,-0.9892044734256001,8
historical,DUAL_C_SCALP_COUNTER_ONLY_TP08,5405,0.6725254394079556,-0.01662633286364715,0.9443738969950045,-89.86532912801286,93.5177435141536,-0.9609441561687386,7
historical,ALL_SCALP_CONTROL,5405,0.5570767807585569,-0.08177676555921229,0.7602990676806238,-442.00341784754244,444.605172208613,-0.994148168928971,12
2026,BASELINE_V191F,550,0.7163636363636363,-0.03697609401119085,0.8705572480006192,-20.336851706154967,35.38074671458145,-0.574799957451818,5
2026,DUAL_A_SCALP_COUNTER_MIXED,551,0.6333938294010889,-0.031273192306430025,0.9004503115243236,-17.231528960842944,28.784001035926135,-0.5986495393512451,8
2026,DUAL_B_SCALP_COUNTER_MIXED_TP08,551,0.631578947368421,-0.036612319619325324,0.8841369376659854,-20.173388110248254,32.400223760350656,-0.6226311354965137,8
2026,DUAL_C_SCALP_COUNTER_ONLY_TP08,551,0.6660617059891107,-0.03613436663794156,0.8811169810514804,-19.9100360175058,32.76407352558569,-0.6076788956647261,6
2026,ALL_SCALP_CONTROL,551,0.5662431941923775,-0.06378903391444578,0.815657635916623,-35.14775768685963,43.14794581553023,-0.814587045166097,8
