R,signal_ts,entry_ts,exit_ts,side,regime,exit_reason,confirm_age_min,max_adverse_atr,response_ratio,confirm_z
-1.0044519663199583,1772338500,1772340051,1772355108,1,MIXED,STOP,25.85,0.4750866765725655,0.750625519687738,-1.5396517872195812
0.09042583335899877,1772355300,1772355316,1772357092,1,MIXED,STOP,0.26666666666666666,0.08974082406232353,4.144230723053654,-1.0963588763731107
0.08974078253077908,1772369400,1772370274,1772371383,-1,MIXED,STOP,14.566666666666666,0.09663823714865445,3.6730768850676037,0.9129830495526708
-1.005030368114903,1772410200,1772410514,1772412298,-1,ALIGNED_WITH,STOP,5.233333333333333,0.49228955898239113,0.6322160136133907,1.7279868296728356
0.09542341756884232,1772412300,1772413388,1772418821,-1,ALIGNED_WITH,STOP,18.133333333333333,0.44828452006440184,0.6881918803836289,1.1143833873615436
0.09212396357535525,1772435400,1772435540,1772438538,1,MIXED,STOP,2.3333333333333335,0.27713874910138564,1.2892347553997607,-1.020269899656922
0.09106209918748871,1772496000,1772496227,1772498886,1,ALIGNED_WITH,STOP,3.783333333333333,0.2618749826287674,1.6300148526164957,-1.7879566484595721
0.37035083808581104,1772510400,1772511407,1772513207,-1,ALIGNED_COUNTER,TIME,16.783333333333335,0.2652120009917963,1.298429314475972,1.7856969191431362
-0.3200302091146511,1772517300,1772517372,1772519172,-1,ALIGNED_COUNTER,TIME,1.2,0.1251687618133395,2.4194630679186733,2.9046499565376345
-1.0075058348047894,1772582700,1772583564,1772584569,1,ALIGNED_WITH,STOP,14.4,0.5652736904061174,0.5475218649205829,-1.73020289234131
0.09230517035169362,1772584800,1772585150,1772585819,1,ALIGNED_WITH,STOP,5.833333333333333,0.191088052754082,1.7158081615357046,-1.9872479184790974
0.09289951409998444,1772588100,1772588164,1772588707,1,ALIGNED_WITH,STOP,1.0666666666666667,0.0,327705176.2774285,-2.1591838580049716
0.0922768312476387,1772668800,1772668908,1772670073,1,ALIGNED_WITH,STOP,1.8,0.014653014789505748,20.52173772996263,-1.4524927462934492
0.7876017801535097,1772689200,1772690297,1772691117,-1,ALIGNED_COUNTER,TP,18.283333333333335,0.4363092464997352,1.2210857564460798,2.1959765740055923
0.37200435850649693,1772693400,1772694296,1772696096,-1,ALIGNED_COUNTER,TIME,14.933333333333334,0.37011042485495216,0.8309734490821779,1.6484674651692484
0.08942876957492714,1772758800,1772758864,1772759891,-1,MIXED,STOP,1.0666666666666667,0.047874720357929036,6.775700793051457,1.604718759759699
1.7579862053356918,1772761500,1772761589,1772772107,-1,MIXED,STOP,1.4833333333333334,0.17490019282474717,1.72608694665263,1.7885409771386005
0.09254631541527329,1772772300,1772773908,1772775453,-1,MIXED,STOP,26.8,0.4501372784824419,0.6774876484596591,1.7754089796697903
0.0866500027987821,1772842200,1772842869,1772851198,-1,ALIGNED_WITH,STOP,11.15,0.2685978169605219,1.140043759431922,1.6026055112943056
2.7382093847961713,1772853300,1772853324,1772856278,-1,ALIGNED_WITH,STOP,0.4,0.0,329153605.01567304,1.5636523999099285
0.08578248587572337,1772857200,1772858101,1772864508,-1,ALIGNED_WITH,STOP,15.016666666666667,0.2504708097928075,1.4987468611844925,1.3854647182111512
0.08543733457163422,1772932500,1772933393,1772933826,-1,ALIGNED_WITH,STOP,14.883333333333333,0.27109356860922,1.2302158228003102,1.5503450047107896
0.08508254362105896,1772938200,1772938229,1772938439,-1,ALIGNED_WITH,STOP,0.48333333333333334,0.3139762370568289,1.3531914850519726,1.0270859253714661
0.7813814919773291,1772945700,1772945763,1772946327,1,ALIGNED_COUNTER,TP,1.05,0.42188872036401226,0.7258278128491501,-3.384679982707393
-1.005490740146629,1773021900,1773022042,1773024628,-1,ALIGNED_WITH,STOP,2.3666666666666667,0.08009838519942204,4.056074715717495,1.6378298502855053
0.09463840674715601,1773026400,1773026412,1773030324,-1,ALIGNED_WITH,STOP,0.2,0.03313411997073471,10.230215518579804,1.0899923764922412
0.7883626930801009,1773040800,1773040821,1773041518,1,ALIGNED_COUNTER,TP,0.35,0.021173728708471323,15.836064825883103,-1.3736697719396316
1.392967746223803,1773100800,1773100998,1773102632,1,ALIGNED_WITH,STOP,3.3,0.2363336313003095,1.31364561562267,-1.8589810231831334
-1.0094770600377634,1773104400,1773104495,1773105603,1,ALIGNED_WITH,STOP,1.5833333333333333,0.23954450738122268,1.492281297372322,-1.2263586917470812
1.8066015327241651,1773106200,1773106405,1773109849,1,ALIGNED_WITH,STOP,3.4166666666666665,0.15089034676664825,2.0978260730532927,-1.6644027033223114
-1.0140197395220956,1773187200,1773187243,1773188679,-1,ALIGNED_COUNTER,STOP,0.7166666666666667,0.05060386126971012,7.928571271888129,1.7626542120322235
0.04589941307109838,1773190500,1773190782,1773192582,-1,ALIGNED_COUNTER,TIME,4.7,0.11141074450086773,2.7973421675820225,1.776277270949442
-0.030193741573360154,1773218700,1773218926,1773220726,-1,ALIGNED_COUNTER,TIME,3.7666666666666666,0.07813626814662723,3.9494381517011905,1.1940236398555935
-1.0105652569759984,1773274500,1773274649,1773277413,1,ALIGNED_WITH,STOP,2.4833333333333334,0.38193706316229137,0.8040141655455316,-1.135418333934649
0.1751690166466749,1773279900,1773280044,1773280998,-1,ALIGNED_COUNTER,STOP,2.4,0.16626051141234863,2.138728310836244,1.44254195960489
