month,CANON_fills,CANON_R,H4_TWO_BAR_fills,H4_TWO_BAR_R,UNION_R
2025-07,1,1.1839316130245563,3,-1.7475148654615915,-0.5635832524370352
2025-08,0,0.0,5,3.4797953003257343,3.4797953003257343
2025-09,0,0.0,2,-0.1183719113760553,-0.1183719113760553
2025-10,5,4.546304824083717,0,0.0,4.546304824083717
2025-11,5,2.115728312749832,1,1.3768201840681402,3.4925484968179723
2026-01,0,0.0,1,1.4025252194705795,1.4025252194705795
2026-02,4,-1.6995729636177932,1,1.4323206995849918,-0.26725226403280145
2026-03,0,0.0,1,1.3090722357089128,1.3090722357089128
2026-04,1,1.3802015675029056,0,0.0,1.3802015675029056
2026-05,0,0.0,2,2.1542356957884747,2.1542356957884747
2026-06,6,8.60271777211429,0,0.0,8.60271777211429
2026-07,1,-1.2190864965986394,2,-2.5323271093540365,-3.751413605952676
