rule,window,eligible_parents,children,child_found_rate,virtual_fills,virtual_fill_rate,mature_admit,real_fills,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,fills_per_month,mean_R,cum_R,profit_factor,max_dd_R,loeo_worst,max_concurrent
TWO_BAR_CONFIRM_12H,2025_H2,22,22,1.0,16,0.7272727272727273,14,11,1,7,2,3,-1.7475148654615915,1.8333333333333333,0.27188442795965706,2.9907287075562277,1.5622482236727904,1.9546223368286453,-0.6961740641365601,1
TWO_BAR_CONFIRM_12H,2026_JAN_JUL,21,21,1.0,15,0.7142857142857143,10,7,2,8,4,1,-2.5323271093540365,1.0,0.5379752487427032,3.7658267411989224,2.4871012229377962,2.5323271093540365,1.6115910454104476,1
TWO_BAR_CONFIRM_12H,POOLED_RECENT,43,43,1.0,31,0.7209302325581395,24,18,2,15,6,4,-2.5323271093540365,1.3846153846153846,0.3753641915975082,6.756555448755148,1.860536793949346,2.5323271093540365,3.0696526770623622,1
TWO_BAR_CONFIRM_12H,AUG2026_REUSED_AUDIT,6,6,1.0,4,0.6666666666666666,3,2,2,3,0,1,-2.9220094982742264,2.0,-1.4610047491371132,-2.9220094982742264,0.0,2.9220094982742264,-2.9220094982742264,1
