month,trades,net40_r,expectancy_net40,variant
2026-06,0,0.0,,E50_OB_RETEST
2023-01,4,-4.692723489074104,-1.173180872268526,E50_FVG_RETEST
2023-02,0,0.0,,E50_FVG_RETEST
2023-03,7,0.6793850374428332,0.09705500534897617,E50_FVG_RETEST
2023-04,7,0.6809622822926076,0.09728032604180108,E50_FVG_RETEST
2023-05,0,0.0,,E50_FVG_RETEST
2023-06,0,0.0,,E50_FVG_RETEST
2023-07,5,-1.1876069045438262,-0.23752138090876523,E50_FVG_RETEST
2023-08,0,0.0,,E50_FVG_RETEST
2023-09,0,0.0,,E50_FVG_RETEST
2023-10,2,0.1746061735991471,0.08730308679957355,E50_FVG_RETEST
2023-11,14,-5.2461207815874324,-0.3747229129705309,E50_FVG_RETEST
2023-12,11,-2.178517363755737,-0.19804703306870336,E50_FVG_RETEST
2024-01,0,0.0,,E50_FVG_RETEST
2024-02,1,-0.610056572834677,-0.610056572834677,E50_FVG_RETEST
2024-03,4,-2.6495893661448013,-0.6623973415362003,E50_FVG_RETEST
2024-04,2,-2.1059003230917557,-1.0529501615458778,E50_FVG_RETEST
2024-05,0,0.0,,E50_FVG_RETEST
2024-06,0,0.0,,E50_FVG_RETEST
2024-07,0,0.0,,E50_FVG_RETEST
2024-08,20,4.04365162430524,0.202182581215262,E50_FVG_RETEST
2024-09,8,2.311768340565723,0.2889710425707154,E50_FVG_RETEST
2024-10,11,2.6518118708963403,0.24107380644512186,E50_FVG_RETEST
2024-11,0,0.0,,E50_FVG_RETEST
2024-12,0,0.0,,E50_FVG_RETEST
2025-01,0,0.0,,E50_FVG_RETEST
2025-02,5,4.050660707866778,0.8101321415733557,E50_FVG_RETEST
2025-03,13,5.72024742386405,0.4400190326049269,E50_FVG_RETEST
2025-04,3,-3.349624449778966,-1.1165414832596554,E50_FVG_RETEST
2025-05,11,0.612059489110454,0.055641771737314,E50_FVG_RETEST
2025-06,4,0.7125823596478156,0.1781455899119539,E50_FVG_RETEST
2025-07,6,-0.6018278049119286,-0.10030463415198809,E50_FVG_RETEST
2025-08,0,0.0,,E50_FVG_RETEST
2025-09,9,-1.5292269848247981,-0.16991410942497756,E50_FVG_RETEST
2025-10,0,0.0,,E50_FVG_RETEST
2025-11,1,0.572084728546824,0.572084728546824,E50_FVG_RETEST
2025-12,14,-5.034934872867161,-0.35963820520479717,E50_FVG_RETEST
2026-01,6,5.030317036997165,0.8383861728328608,E50_FVG_RETEST
2026-02,14,0.8180735688110279,0.05843382634364485,E50_FVG_RETEST
2026-03,6,-3.679056660700594,-0.6131761101167656,E50_FVG_RETEST
2026-04,0,0.0,,E50_FVG_RETEST
2026-05,0,0.0,,E50_FVG_RETEST
2026-06,0,0.0,,E50_FVG_RETEST
2023-01,2,-2.3101623790230956,-1.1550811895115478,E50_BOS_RETEST
2023-02,0,0.0,,E50_BOS_RETEST
2023-03,6,0.8649022755847018,0.14415037926411697,E50_BOS_RETEST
2023-04,6,0.5366733936803922,0.08944556561339871,E50_BOS_RETEST
2023-05,0,0.0,,E50_BOS_RETEST
2023-06,0,0.0,,E50_BOS_RETEST
2023-07,4,2.6839463726261963,0.6709865931565491,E50_BOS_RETEST
2023-08,0,0.0,,E50_BOS_RETEST
2023-09,0,0.0,,E50_BOS_RETEST
2023-10,2,-2.33583320589316,-1.16791660294658,E50_BOS_RETEST
2023-11,12,5.439554640660827,0.4532962200550689,E50_BOS_RETEST
2023-12,9,-1.912938765099462,-0.212548751677718,E50_BOS_RETEST
2024-01,0,0.0,,E50_BOS_RETEST
2024-02,1,-0.27344334237028856,-0.27344334237028856,E50_BOS_RETEST
2024-03,2,-2.3002582200416217,-1.1501291100208109,E50_BOS_RETEST
2024-04,2,-2.1091142627962607,-1.0545571313981303,E50_BOS_RETEST
2024-05,0,0.0,,E50_BOS_RETEST
2024-06,0,0.0,,E50_BOS_RETEST
2024-07,0,0.0,,E50_BOS_RETEST
2024-08,19,-3.6767634002694294,-0.19351386317207522,E50_BOS_RETEST
2024-09,8,4.058884342528835,0.5073605428161043,E50_BOS_RETEST
2024-10,9,3.178534333255641,0.35317048147284896,E50_BOS_RETEST
2024-11,0,0.0,,E50_BOS_RETEST
2024-12,0,0.0,,E50_BOS_RETEST
2025-01,0,0.0,,E50_BOS_RETEST
2025-02,5,2.8954303642263213,0.5790860728452643,E50_BOS_RETEST
2025-03,8,-1.2916475590606837,-0.16145594488258547,E50_BOS_RETEST
2025-04,2,0.273317083218501,0.1366585416092505,E50_BOS_RETEST
2025-05,9,-2.0143111604104096,-0.22381235115671216,E50_BOS_RETEST
2025-06,4,3.223708079903667,0.8059270199759168,E50_BOS_RETEST
2025-07,4,1.8642305735012397,0.4660576433753099,E50_BOS_RETEST
2025-08,0,0.0,,E50_BOS_RETEST
2025-09,8,-3.597501848086748,-0.4496877310108435,E50_BOS_RETEST
2025-10,0,0.0,,E50_BOS_RETEST
2025-11,1,0.9217958797931157,0.9217958797931157,E50_BOS_RETEST
2025-12,11,-1.56929414339425,-0.1426631039449318,E50_BOS_RETEST
2026-01,6,3.0678585966112264,0.5113097661018711,E50_BOS_RETEST
2026-02,10,-1.8320515277884213,-0.18320515277884214,E50_BOS_RETEST
2026-03,4,-4.100293951518357,-1.0250734878795893,E50_BOS_RETEST
2026-04,0,0.0,,E50_BOS_RETEST
2026-05,0,0.0,,E50_BOS_RETEST
2026-06,0,0.0,,E50_BOS_RETEST
2023-01,4,-2.1888889607991677,-0.5472222401997919,E50_OR_ROUTER
2023-02,0,0.0,,E50_OR_ROUTER
2023-03,7,-3.5996022385969253,-0.5142288912281322,E50_OR_ROUTER
2023-04,8,2.0853855056129764,0.26067318820162205,E50_OR_ROUTER
2023-05,0,0.0,,E50_OR_ROUTER
2023-06,0,0.0,,E50_OR_ROUTER
2023-07,8,-2.9961414592343156,-0.37451768240428945,E50_OR_ROUTER
2023-08,0,0.0,,E50_OR_ROUTER
2023-09,0,0.0,,E50_OR_ROUTER
2023-10,4,-2.3934089586257707,-0.5983522396564427,E50_OR_ROUTER
2023-11,16,-13.558294538067901,-0.8473934086292438,E50_OR_ROUTER
2023-12,12,-0.9014642908305246,-0.07512202423587705,E50_OR_ROUTER
2024-01,0,0.0,,E50_OR_ROUTER
2024-02,2,-2.6213001523699186,-1.3106500761849593,E50_OR_ROUTER
2024-03,4,-0.2747819513936134,-0.06869548784840335,E50_OR_ROUTER
2024-04,2,0.3841190148107949,0.19205950740539746,E50_OR_ROUTER
2024-05,0,0.0,,E50_OR_ROUTER
2024-06,0,0.0,,E50_OR_ROUTER
2024-07,0,0.0,,E50_OR_ROUTER
2024-08,22,-0.48751891265738356,-0.022159950575335617,E50_OR_ROUTER
2024-09,8,3.1151205115241614,0.38939006394052017,E50_OR_ROUTER
2024-10,11,5.254729841534105,0.4777027128667368,E50_OR_ROUTER
2024-11,0,0.0,,E50_OR_ROUTER
2024-12,0,0.0,,E50_OR_ROUTER
2025-01,0,0.0,,E50_OR_ROUTER
2025-02,5,2.8710689046675446,0.5742137809335089,E50_OR_ROUTER
2025-03,14,-1.5426323513288493,-0.1101880250949178,E50_OR_ROUTER
2025-04,3,-3.1878435298546144,-1.062614509951538,E50_OR_ROUTER
2025-05,12,4.366123154818709,0.36384359623489243,E50_OR_ROUTER
2025-06,4,0.7198603179615619,0.17996507949039048,E50_OR_ROUTER
2025-07,8,-1.5769190676927667,-0.19711488346159584,E50_OR_ROUTER
2025-08,0,0.0,,E50_OR_ROUTER
2025-09,9,3.3982517072484795,0.37758352302760884,E50_OR_ROUTER
2025-10,0,0.0,,E50_OR_ROUTER
