variant,gate,trades,mean_trades_month,median_trades_month,pct_months_ge10,gross_expectancy_r,commission_expectancy_r,spread20_expectancy_r,spread40_expectancy_r,pf_spread40,cum_spread40_r,mean_spread40_r_month,max_dd_r,max_dd_pct_at_025,max_consecutive_losses,win_rate_net40,median_hold_h,p90_hold_h,timeout_frac,positive_blocks,min_block_cum_r,classification,top_abs_trade_share
E50_SWEEP_RECLAIM,50,139,3.3095238095238093,2.0,0.09523809523809523,0.11572987277869036,0.10242107786767733,0.02780673023093594,-0.04680761740580545,0.9266843511734209,-6.506258819406957,-0.1549109242715942,21.221922447340994,5.305480611835248,6,0.45323741007194246,0.5666666666666667,2.0300000000000002,0.02877697841726619,2,-10.601643092546574,NOT_VIABLE,0.00868944317275721
E50_OB_RETEST,50,83,1.9761904761904763,1.0,0.023809523809523808,-0.056171044392653045,-0.06805368678310046,-0.13408396354169133,-0.20011424030028216,0.7183265370130796,-16.60948194492342,-0.39546385583151,18.989834509921142,4.7474586274802855,7,0.3855421686746988,0.6333333333333333,2.7033333333333314,0.012048192771084338,0,-13.449344390046404,NOT_VIABLE,0.015521903003097545
E50_FVG_RETEST,50,188,4.476190476190476,2.5,0.19047619047619047,0.09758393527473336,0.08737506714747081,0.030903025780730693,-0.02556901558600941,0.9571181792958756,-4.806974930169769,-0.1144517840516613,17.218703713452083,4.304675928363021,6,0.4521276595744681,1.3083333333333333,7.231666666666669,0.09042553191489362,3,-11.770015045626511,NOT_VIABLE,0.007074385732858462
E50_BOS_RETEST,50,154,3.6666666666666665,2.0,0.09523809523809523,0.09532158778623574,0.08725338713065842,0.04260468762324633,-0.0020440118841657407,0.996417006443055,-0.31477783016152405,-0.007494710241941064,13.60393148753688,3.40098287188422,7,0.43506493506493504,1.7333333333333334,8.0,0.12987012987012986,2,-2.864486882695553,NOT_VIABLE,0.018213116824149733
E50_OR_ROUTER,50,208,4.9523809523809526,3.5,0.19047619047619047,0.10407202550616618,0.09257523917940731,0.028100539987948668,-0.03637415920351001,0.9401799134709585,-7.565825114330082,-0.1801386931983353,29.142320786409027,7.285580196602257,7,0.4519230769230769,1.1333333333333333,4.910000000000001,0.07692307692307693,3,-23.55241494054163,NOT_VIABLE,0.006324892700930318
E75_SWEEP_RECLAIM,75,54,1.2857142857142858,0.0,0.0,0.037634123245519256,0.02684725951632325,-0.026638305415944915,-0.08012387034821294,0.8748435235626599,-4.326688998803499,-0.1030164047334167,10.640472535717038,2.6601181339292594,6,0.42592592592592593,0.6166666666666667,1.7983333333333336,0.037037037037037035,1,-4.1118404533488775,NOT_VIABLE,0.022833441590398997
E75_OB_RETEST,75,39,0.9285714285714286,0.0,0.0,-0.10256410256410685,-0.11424422519196079,-0.17673268089883581,-0.23922113660571084,0.674306243085554,-9.329624327622723,-0.22213391256244577,9.620801478118501,2.4052003695296253,5,0.358974358974359,0.48333333333333334,1.8633333333333335,0.0,0,-3.282363446205559,NOT_VIABLE,0.03210730821352714
E75_FVG_RETEST,75,87,2.0714285714285716,0.0,0.0,0.021778775565669782,0.0130907070399244,-0.03236374931756777,-0.0778182056750599,0.8709859482923048,-6.770183893730211,-0.16119485461262414,9.97170648811905,2.4929266220297626,5,0.4367816091954023,1.4833333333333334,8.0,0.11494252873563218,1,-4.0289123468811345,NOT_VIABLE,0.015158909416721844
E75_BOS_RETEST,75,77,1.8333333333333333,0.0,0.0,0.1422008228401264,0.13450349297639025,0.09496041934845215,0.0554173457205141,1.0977408843444905,4.267135620479586,0.10159846715427587,7.1636507335922035,1.7909126833980509,4,0.45454545454545453,1.6333333333333333,8.0,0.11688311688311688,3,-1.3687072292605527,NOT_VIABLE,0.034880413093151326
E75_OR_ROUTER,75,98,2.3333333333333335,0.0,0.07142857142857142,0.18126842381389616,0.17213914172207218,0.12371876069019865,0.07529837965832512,1.140735157481485,7.379241206515861,0.17569621920275863,7.683614747470914,1.9209036868677285,5,0.5,1.3416666666666668,8.0,0.1326530612244898,3,-2.8042107122610407,NOT_VIABLE,0.013718968906444282
