source,trades,gate
FVG_RETEST,91,50
SWEEP_RECLAIM,67,50
BOS_RETEST,41,50
OB_RETEST,9,50
FVG_RETEST,52,75
BOS_RETEST,23,75
SWEEP_RECLAIM,20,75
OB_RETEST,3,75
