fill_time,entry,family,gate,episode,activation,evidence,atr15,sl,tp,stop_dist,exit_time,exit_price,reason,holding_hours,gross_r,commission_r,net_comm_r,net20_r,net40_r,prio,variant
2023-01-24 16:30:00,1930.06,SWEEP_RECLAIM,50,10,2023-01-24 16:30:00,50,2.370000000000037,1927.293,1934.2105000000001,2.7670000000000528,2023-01-24 16:45:00,1927.293,SL,0.25,-1.0,0.009765392121430965,-1.009765392121431,-1.082045840260208,-1.154326288398985,0,E50_SWEEP_RECLAIM
2023-01-25 05:30:00,1932.77,SWEEP_RECLAIM,50,10,2023-01-25 05:30:00,50,2.128571428571458,1928.767142857143,1938.7742857142855,4.00285714285701,2023-01-25 06:58:00,1928.767142857143,SL,1.4666666666666666,-1.0,0.006759866523911716,-1.0067598665239117,-1.0567241777301946,-1.1066884889364774,0,E50_SWEEP_RECLAIM
2023-03-29 03:30:00,1971.33,SWEEP_RECLAIM,50,11,2023-03-29 03:30:00,50,1.1785714285714286,1970.1514285714286,1973.0978571428568,1.1785714285713311,2023-03-29 03:31:00,1970.1514285714286,SL,0.016666666666666666,-1.0,0.023417010909092845,-1.0234170109090928,-1.1931139806060764,-1.3628109503030603,0,E50_SWEEP_RECLAIM
2023-03-29 04:45:00,1967.37,SWEEP_RECLAIM,50,11,2023-03-29 04:45:00,50,1.4728571428571189,1965.8971428571429,1969.5792857142856,1.4728571428570376,2023-03-29 05:02:00,1969.5792857142856,TP,0.2833333333333333,1.5000000000000773,0.018700510184288435,1.4812994898157887,1.3455089951504056,1.2097185004850224,0,E50_SWEEP_RECLAIM
2023-03-30 03:15:00,1961.9,SWEEP_RECLAIM,50,11,2023-03-30 03:15:00,50,1.1485714285714397,1960.7514285714287,1963.6228571428571,1.1485714285713584,2023-03-30 04:01:00,1960.7514285714287,SL,0.7666666666666667,-1.0,0.023913706467663155,-1.023913706467663,-1.1980430597015046,-1.372172412935346,0,E50_SWEEP_RECLAIM
2023-03-30 17:15:00,1965.8,SWEEP_RECLAIM,50,12,2023-03-30 17:15:00,50,3.2392857142856593,1962.5607142857143,1970.6589285714285,3.239285714285643,2023-03-30 17:23:00,1970.6589285714285,TP,0.13333333333333333,1.500000000000035,0.008496070562293461,1.4915039294377417,1.4297619228225253,1.368019916207309,0,E50_SWEEP_RECLAIM
2023-03-31 03:15:00,1977.96,SWEEP_RECLAIM,50,12,2023-03-31 03:15:00,50,1.0549999999999662,1976.905,1979.5425,1.0550000000000637,2023-03-31 03:58:00,1979.5425,TP,0.7166666666666667,1.4999999999998923,0.0262478104265387,1.4737521895733536,1.2841787298577252,1.0946052701420967,0,E50_SWEEP_RECLAIM
2023-03-31 11:00:00,1975.32,SWEEP_RECLAIM,50,12,2023-03-31 11:00:00,50,2.1500000000000097,1973.1699999999998,1978.545,2.150000000000091,2023-03-31 11:12:00,1978.545,TP,0.2,1.5,0.012862548837208757,1.4871374511627913,1.3941141953488416,1.3010909395348922,0,E50_SWEEP_RECLAIM
2023-04-05 12:30:00,2022.38,SWEEP_RECLAIM,50,13,2023-04-05 12:30:00,50,2.4649999999999506,2019.9150000000002,2026.0774999999999,2.464999999999918,2023-04-05 15:15:00,2026.0774999999999,TP,2.75,1.4999999999999538,0.011486133874239732,1.488513866125714,1.4073779634887944,1.326242060851875,0,E50_SWEEP_RECLAIM
2023-04-12 10:30:00,2013.52,SWEEP_RECLAIM,50,14,2023-04-12 10:30:00,50,2.0671428571428287,2011.452857142857,2016.6207142857143,2.067142857142926,2023-04-12 11:08:00,2011.452857142857,SL,0.6333333333333333,-1.0,0.013636832066343706,-1.0136368320663438,-1.1103887325501,-1.2071406330338563,0,E50_SWEEP_RECLAIM
2023-04-12 12:15:00,2010.16,SWEEP_RECLAIM,50,14,2023-04-12 12:15:00,50,2.125714285714269,2008.0342857142857,2013.3485714285716,2.1257142857143663,2023-04-12 13:26:00,2008.0342857142857,SL,1.1833333333333333,-1.0,0.01323895698924681,-1.0132389569892468,-1.1073249784946195,-1.2014109999999925,0,E50_SWEEP_RECLAIM
2023-07-19 04:45:00,1978.18,SWEEP_RECLAIM,50,15,2023-07-19 04:45:00,75,1.0092857142857221,1976.2390714285714,1981.091392857143,1.9409285714286852,2023-07-19 05:02:00,1976.2390714285714,SL,0.2833333333333333,-1.0,0.014268696132189205,-1.0142686961321892,-1.1173121583925152,-1.220355620652841,0,E50_SWEEP_RECLAIM
2023-07-19 07:30:00,1974.86,SWEEP_RECLAIM,50,15,2023-07-19 07:30:00,75,1.4449999999999688,1973.415,1977.0274999999997,1.4449999999999363,2023-07-19 08:45:00,1977.0274999999997,TP,1.25,1.4999999999999214,0.01913359169550257,1.4808664083044187,1.3424581038061427,1.2040497993078667,0,E50_SWEEP_RECLAIM
