block,n,expectancy_net40,cum_net40_r,variant
2023,42,-0.2524200736320613,-10.601643092546574,E50_SWEEP_RECLAIM
2024,32,0.044423031234072874,1.421536999490332,E50_SWEEP_RECLAIM
2025,44,-0.060955963863851714,-2.6820624100094754,E50_SWEEP_RECLAIM
2026H1,21,0.25504331826946497,5.355909683658764,E50_SWEEP_RECLAIM
2023,25,-0.014944555486977524,-0.3736138871744381,E50_OB_RETEST
2024,22,-0.6113338359112002,-13.449344390046404,E50_OB_RETEST
2025,24,-0.08920857481035933,-2.141005795448624,E50_OB_RETEST
2026H1,12,-0.0537931560211628,-0.6455178722539536,E50_OB_RETEST
2023,50,-0.23540030091253022,-11.770015045626511,E50_FVG_RETEST
2024,46,0.07916707768904499,3.6416855736960696,E50_FVG_RETEST
2025,66,0.017454857525046476,1.1520205966530674,E50_FVG_RETEST
2026H1,26,0.08343592096567684,2.169333945107598,E50_FVG_RETEST
2023,41,0.07234493493991222,2.966142332536401,E50_BOS_RETEST
2024,41,-0.027369769504710335,-1.1221605496931237,E50_BOS_RETEST
2025,52,0.013571678263283685,0.7057272696907516,E50_BOS_RETEST
2026H1,20,-0.14322434413477764,-2.864486882695553,E50_BOS_RETEST
2023,59,-0.3991934735685022,-23.55241494054163,E50_OR_ROUTER
2024,49,0.10959935411118665,5.370368351448146,E50_OR_ROUTER
2025,72,0.034345725708052395,2.4728922509797724,E50_OR_ROUTER
2026H1,28,0.290833186563701,8.143329223783628,E50_OR_ROUTER
2023,8,0.6400901362409086,5.120721089927269,E75_SWEEP_RECLAIM
2024,12,-0.137755552957386,-1.653066635488632,E75_SWEEP_RECLAIM
2025,21,-0.19580192634994656,-4.1118404533488775,E75_SWEEP_RECLAIM
2026H1,13,-0.2832694615302509,-3.6825029998932615,E75_SWEEP_RECLAIM
2023,11,-0.07354623395596098,-0.8090085735155708,E75_OB_RETEST
2024,7,-0.46890906374365127,-3.282363446205559,E75_OB_RETEST
2025,14,-0.20096815921365824,-2.813554228991215,E75_OB_RETEST
2026H1,7,-0.34638543984433934,-2.4246980789103754,E75_OB_RETEST
2023,19,-0.08933783108130067,-1.6974187905447127,E75_FVG_RETEST
2024,20,0.08774440817548673,1.7548881635097346,E75_FVG_RETEST
2025,34,-0.11849742196709219,-4.0289123468811345,E75_FVG_RETEST
2026H1,14,-0.19991006570100714,-2.7987409198141,E75_FVG_RETEST
2023,17,0.21914013052673836,3.725382218954552,E75_BOS_RETEST
2024,18,-0.07603929051447515,-1.3687072292605527,E75_BOS_RETEST
2025,32,0.03392030683346252,1.0854498186708006,E75_BOS_RETEST
2026H1,10,0.08250108121147859,0.8250108121147859,E75_BOS_RETEST
2023,22,0.24831703440480657,5.462974756905744,E75_OR_ROUTER
2024,22,0.111219223926425,2.44682292638135,E75_OR_ROUTER
2025,38,0.05983300619710025,2.2736542354898095,E75_OR_ROUTER
2026H1,16,-0.17526316951631504,-2.8042107122610407,E75_OR_ROUTER
