split,model,n,base_rate,auc,brier,logloss,selected_n,coverage,precision,recall,rejected_rate,selection_gap
DISCOVERY_2023,SNAPSHOT,1559,0.48749198203976907,0.686621434688097,0.22355370036953423,0.6382565566782336,141,0.09044259140474663,0.7092198581560284,0.13157894736842105,0.46544428772919605,0.24377557042683234
DISCOVERY_2023,ORDERED_PRICE_STORY,1559,0.48749198203976907,0.6886749884724327,0.22326889053199908,0.6394546006261166,206,0.13213598460551634,0.7330097087378641,0.1986842105263158,0.4501108647450111,0.282898843992853
DISCOVERY_2023,ORDERED_PRICE_VOLUME_STORY,1559,0.48749198203976907,0.6907878268888742,0.22426403880928228,0.6438366627585628,216,0.13855035279025016,0.7175925925925926,0.20394736842105263,0.4504839910647803,0.26710860152781224
CONFIRMATION,SNAPSHOT,2354,0.4927782497875956,0.6865166348986311,0.22697562248122838,0.6451505293096339,151,0.06414613423959219,0.695364238410596,0.09051724137931035,0.47889241942805266,0.21647181898254336
CONFIRMATION,ORDERED_PRICE_STORY,2354,0.4927782497875956,0.6957452492346792,0.22466727629956995,0.6402793131955201,180,0.07646559048428207,0.7611111111111111,0.11810344827586207,0.4705611775528979,0.2905499335582132
CONFIRMATION,ORDERED_PRICE_VOLUME_STORY,2354,0.4927782497875956,0.6953669208109514,0.22522388991955217,0.6426597553309418,193,0.08198810535259134,0.7512953367875648,0.125,0.4696899583526145,0.28160537843495026
