role,path,size_bytes,sha256
EVENTS_ZIP,/mnt/data/FXArena_LevelBattleEvents_v003_EVENT_STREAM_EURUSD_M5.csv(6).zip,15749657,e61560232cad9e42281b75ee89c70289979459741cf7578352ed16b2f4dc50e2
ROUNDS_V003,/mnt/data/exactinp/FXArena_LevelBattleRounds_v003_EVENT_STREAM_EURUSD_M5.csv,158252623,4f13ada4f096932986d4b29d33f08c6fe9f4a63b838632842f5f47235e2880aa
LEVELS_V003,/mnt/data/exactinp/FXArena_LevelBattleLevels_v003_EVENT_STREAM_EURUSD_M5.csv,656948,1a27e153b471b6ef4392c8767c075bcba7d477ddddcb3791502ba89aff84dc7c
M1_TRADINGTICKS_V1,/mnt/data/exactinp/EURUSD_M1_202301020005_202607172354.csv,78573355,09b872ae42af24ca67c525754da3266e21d96833fc9d66fe8bbdb1dac39836f5
CONT_TRAILING_PIN,/mnt/data/FXArena_Closure_v001_1_output/trades_GEOstar_TRAILING_PINNED.csv.gz,121655,7fb61c35a8225a432bd27a393b2544a617079c76270139cf314fb6fec524bc89
EVENTS_CSV_INTERNAL,FXArena_LevelBattleEvents_v003_EVENT_STREAM_EURUSD_M5.csv,90547446,8fdeae02a858640ed7367e7316bc0478eb9eb9b27fb631e30d15b3e11a6cab4d
