split,model,n_total,n_top,top_tail_hit,top_mean_chosen_ret,top_ci_lo,top_ci_hi,all_tail_hit,all_mean_chosen_ret,top_cont_share
DEV_2021_2024,CORE,1155,231,0.37662337662337664,0.006926008807627974,0.0008348443326256303,0.012925919370141535,0.2935064935064935,0.004287186354578108,0.47186147186147187
DEV_2021_2024,DROP__impulse_dir,1155,231,0.37662337662337664,0.007392093248597862,0.0012091702535265449,0.01361335023464947,0.2935064935064935,0.004361658035672462,0.47186147186147187
DEV_2021_2024,DROP__btc_z15,1155,231,0.3722943722943723,0.007546542724787862,0.001697618494582032,0.01339219679471373,0.2831168831168831,0.003301894050699919,0.49783549783549785
DEV_2021_2024,DROP__btc_z60,1155,231,0.354978354978355,0.005979678181465433,-0.0002376403722763428,0.01228355669087217,0.29004329004329005,0.004170891309193161,0.45021645021645024
DEV_2021_2024,DROP__btc_z4h,1155,231,0.36363636363636365,0.004913929236214988,-0.0010828316651604842,0.011186307604652425,0.2891774891774892,0.003921877252112978,0.4675324675324675
DEV_2021_2024,DROP__btc_z24h,1155,231,0.4069264069264069,0.010566688820804374,0.004562338909550426,0.016262905496486322,0.2943722943722944,0.004444009863256502,0.5238095238095238
DEV_2021_2024,DROP__btc_vol_z,1155,231,0.35064935064935066,0.003955587758874218,-0.0021872501571690707,0.010479543556083012,0.2701298701298701,0.0011110836362344147,0.4805194805194805
DEV_2021_2024,DROP__btc_range_z,1155,231,0.3463203463203463,0.0035357041938377997,-0.0028350613064481956,0.009356833216383016,0.2787878787878788,0.0026081821568887825,0.47619047619047616
DEV_2021_2024,DROP__btc_corr7d_lag,1155,231,0.36363636363636365,0.009029013619079372,0.0030100839548763986,0.01518420388161317,0.2857142857142857,0.004190850727109991,0.36796536796536794
DEV_2021_2024,DROP__hour_sin,1155,231,0.36363636363636365,0.007247509589744416,0.0014599523497555236,0.013159985935751944,0.296969696969697,0.004702098554556052,0.5281385281385281
DEV_2021_2024,DROP__hour_cos,1155,231,0.37662337662337664,0.007962032871633957,0.0013633481085153112,0.014006834197467403,0.2935064935064935,0.004583650193473858,0.4675324675324675
DEV_2021_2024,CORE_PLUS__IMPULSE_PATH,1155,231,0.3722943722943723,0.007024773905101098,0.0010889062566708462,0.013143096386644569,0.2935064935064935,0.004055877432134729,0.49783549783549785
DEV_2021_2024,CORE_PLUS__PRE_STATE,1155,231,0.41125541125541126,0.008207913566363627,0.001879446362127295,0.01454775774825122,0.2961038961038961,0.004984575626464173,0.36363636363636365
DEV_2021_2024,CORE_PLUS__VOL_REGIME,1155,231,0.3939393939393939,0.010230977534333935,0.004066925549886722,0.01608624068298463,0.28744588744588745,0.004216548358445692,0.46320346320346323
DEV_2021_2024,CORE_PLUS__BREAK_ACCEPTANCE,1155,231,0.4025974025974026,0.01007045856935775,0.0040260885804260455,0.016587619139005715,0.296969696969697,0.004570436915630961,0.46320346320346323
DEV_2021_2024,CORE_PLUS__TREND_REGIME,1155,231,0.4199134199134199,0.00922345472352217,0.003229958478762636,0.014937128959385053,0.2891774891774892,0.00442328220536077,0.46320346320346323
DEV_2021_2024,CORE_PLUS__CALENDAR,1155,231,0.3939393939393939,0.010153702479565183,0.004058824569677911,0.015933654246590497,0.283982683982684,0.002932713445353826,0.5238095238095238
BRIDGE_2025,CORE,301,55,0.2,-0.0009764431137652008,-0.0077701300379593285,0.00577719275839672,0.18604651162790697,0.00014611527342383231,0.509090909090909
BRIDGE_2025,DROP__impulse_dir,301,51,0.19607843137254902,-0.0014243137013904223,-0.00889722032424295,0.005514135175406711,0.1893687707641196,0.0001995989827416361,0.5098039215686274
BRIDGE_2025,DROP__btc_z15,301,54,0.2037037037037037,0.00014990184382081325,-0.00803193354705062,0.007974300392617787,0.17940199335548174,-0.00034240368567664206,0.42592592592592593
BRIDGE_2025,DROP__btc_z60,301,49,0.20408163265306123,-0.0026494711426213167,-0.009582173406537274,0.0048592065632320665,0.18604651162790697,-0.00016023705104754838,0.42857142857142855
BRIDGE_2025,DROP__btc_z4h,301,48,0.20833333333333334,0.0003023079601499774,-0.007174297939789173,0.007750185957417229,0.18604651162790697,2.332266929648575e-05,0.5208333333333334
BRIDGE_2025,DROP__btc_z24h,301,55,0.18181818181818182,-0.0035315140392911445,-0.009667931615331029,0.002536093633904715,0.18272425249169436,-0.00022542329896258297,0.41818181818181815
BRIDGE_2025,DROP__btc_vol_z,301,61,0.22950819672131148,0.0015112667369490767,-0.004931504311335811,0.008360573254848581,0.1893687707641196,0.0005217045040629661,0.4426229508196721
BRIDGE_2025,DROP__btc_range_z,301,60,0.18333333333333332,-0.0013353299781405981,-0.008110850540307918,0.005393966112066695,0.19269102990033224,0.0007392705571000931,0.5166666666666667
BRIDGE_2025,DROP__btc_corr7d_lag,301,67,0.1791044776119403,-0.0005157777962524811,-0.005715209469430411,0.005230840509161493,0.17275747508305647,-0.0011779168710355783,0.417910447761194
BRIDGE_2025,DROP__hour_sin,301,51,0.1568627450980392,-0.0026787517292334775,-0.009379385813491858,0.004687055806234853,0.19269102990033224,0.00038070547827482985,0.5294117647058824
BRIDGE_2025,DROP__hour_cos,301,56,0.17857142857142858,-0.002946371452573795,-0.009774931046879197,0.0038233637151444057,0.19933554817275748,0.0006822860170832381,0.4642857142857143
BRIDGE_2025,CORE_PLUS__IMPULSE_PATH,301,53,0.24528301886792453,0.002249671073866763,-0.0055743418198778965,0.009691524811380046,0.18604651162790697,-0.00027406509031205735,0.5660377358490566
BRIDGE_2025,CORE_PLUS__PRE_STATE,301,50,0.14,-0.005021911158322196,-0.011881845786462559,0.002118466888355594,0.18272425249169436,0.000484427955906432,0.4
BRIDGE_2025,CORE_PLUS__VOL_REGIME,301,52,0.19230769230769232,-0.0011524833064193547,-0.008098685541944043,0.006372852814023474,0.1760797342192691,-0.0008244643088409038,0.4423076923076923
BRIDGE_2025,CORE_PLUS__BREAK_ACCEPTANCE,301,57,0.24561403508771928,0.001772870627502567,-0.005289331230426437,0.009009039567172115,0.1893687707641196,0.00025897085034826443,0.45614035087719296
BRIDGE_2025,CORE_PLUS__TREND_REGIME,301,51,0.13725490196078433,-0.0020572290993989676,-0.00856124996737424,0.0046976286002504,0.16943521594684385,-0.0006504633391681013,0.4117647058823529
BRIDGE_2025,CORE_PLUS__CALENDAR,301,55,0.21818181818181817,0.0012070612464874337,-0.006564984580335294,0.009631955718182754,0.19601328903654486,0.0008939485438025268,0.5454545454545454
