split,model,side,n,auc,brier,logloss
DEV_2021_2024,CORE,CONT,1155,0.5939809968274772,0.1838407347609249,0.5525968481716994
DEV_2021_2024,CORE,REV,1155,0.588658829922405,0.18391707769864263,0.5532463671815767
DEV_2021_2024,DROP__impulse_dir,CONT,1155,0.5942806683874473,0.18386858255004668,0.5526626655266366
DEV_2021_2024,DROP__impulse_dir,REV,1155,0.5890703788647642,0.18392100298578923,0.5532585972812175
DEV_2021_2024,DROP__btc_z15,CONT,1155,0.5853904121083293,0.18423717420270266,0.5534841358668522
DEV_2021_2024,DROP__btc_z15,REV,1155,0.5885549437816154,0.18438596404155821,0.5539981094176512
DEV_2021_2024,DROP__btc_z60,CONT,1155,0.5890703788647642,0.18435673866336952,0.5537234750135243
DEV_2021_2024,DROP__btc_z60,REV,1155,0.5884670401240241,0.18391407828003467,0.5532532099242717
DEV_2021_2024,DROP__btc_z4h,CONT,1155,0.5938970887906855,0.18385846272462816,0.5526177680014316
DEV_2021_2024,DROP__btc_z4h,REV,1155,0.5889624971031748,0.1842279836498859,0.5539477286136609
DEV_2021_2024,DROP__btc_z24h,CONT,1155,0.5882073247720498,0.18429488411862852,0.5536620063833613
DEV_2021_2024,DROP__btc_z24h,REV,1155,0.5769276872547688,0.18445747867394655,0.5548247476379956
DEV_2021_2024,DROP__btc_vol_z,CONT,1155,0.580563702182408,0.18506494960040523,0.5558001108546217
DEV_2021_2024,DROP__btc_vol_z,REV,1155,0.5763043704100306,0.18470552924278885,0.5553856703098845
DEV_2021_2024,DROP__btc_range_z,CONT,1155,0.5923747572660364,0.18404289987525377,0.5532194423741698
DEV_2021_2024,DROP__btc_range_z,REV,1155,0.584455436841222,0.1840783833832087,0.5537111909652411
DEV_2021_2024,DROP__btc_corr7d_lag,CONT,1155,0.5774031661299216,0.18494338170064292,0.5558185304062622
DEV_2021_2024,DROP__btc_corr7d_lag,REV,1155,0.588598895610411,0.18397018668663656,0.5533287308243412
DEV_2021_2024,DROP__hour_sin,CONT,1155,0.5907045877718021,0.1839441146002571,0.5529157903655336
DEV_2021_2024,DROP__hour_sin,REV,1155,0.5835644134029105,0.18426688224704973,0.5539689207728042
DEV_2021_2024,DROP__hour_cos,CONT,1155,0.5925945164100146,0.1838947878168483,0.5527393371345977
DEV_2021_2024,DROP__hour_cos,REV,1155,0.5888026722711908,0.1839366763918656,0.5532740831274758
DEV_2021_2024,CORE_PLUS__IMPULSE_PATH,CONT,1155,0.6077379192405125,0.18304252817333957,0.550256888579684
DEV_2021_2024,CORE_PLUS__IMPULSE_PATH,REV,1155,0.5924586653028281,0.1836143942603622,0.5523907134179709
DEV_2021_2024,CORE_PLUS__PRE_STATE,CONT,1155,0.5972014671919577,0.1833789752002823,0.5514855263470158
DEV_2021_2024,CORE_PLUS__PRE_STATE,REV,1155,0.6127803926896122,0.18141698047938223,0.5466510501702389
DEV_2021_2024,CORE_PLUS__VOL_REGIME,CONT,1155,0.5952236348961538,0.1835923118522489,0.5519122825600853
DEV_2021_2024,CORE_PLUS__VOL_REGIME,REV,1155,0.5966860321088087,0.18260448855247438,0.5503506075963056
DEV_2021_2024,CORE_PLUS__BREAK_ACCEPTANCE,CONT,1155,0.5973652876447414,0.18365924797045138,0.5521545180424384
DEV_2021_2024,CORE_PLUS__BREAK_ACCEPTANCE,REV,1155,0.5909323381573796,0.18363920535556935,0.552541032090347
DEV_2021_2024,CORE_PLUS__TREND_REGIME,CONT,1155,0.600585758009222,0.18299431528388335,0.5506100090169872
DEV_2021_2024,CORE_PLUS__TREND_REGIME,REV,1155,0.5980964862510689,0.18187127506057893,0.5474771439528967
DEV_2021_2024,CORE_PLUS__CALENDAR,CONT,1155,0.6063634256854488,0.18265993354374063,0.5494267469331914
DEV_2021_2024,CORE_PLUS__CALENDAR,REV,1155,0.5964343079984337,0.1832394452068134,0.5512891446752248
BRIDGE_2025,CORE,CONT,301,0.488824101068999,0.14751508625075735,0.47436362182363623
BRIDGE_2025,CORE,REV,301,0.522475795297372,0.16467753286673106,0.5128501698282392
BRIDGE_2025,DROP__impulse_dir,CONT,301,0.4906057661159702,0.14745401897142477,0.47423145830605745
BRIDGE_2025,DROP__impulse_dir,REV,301,0.5216459197786999,0.16468829482655598,0.5128820382538666
BRIDGE_2025,DROP__btc_z15,CONT,301,0.48323615160349853,0.14725291971798757,0.47368341351404997
BRIDGE_2025,DROP__btc_z15,REV,301,0.5138312586445366,0.16499291560484997,0.5138437276165029
BRIDGE_2025,DROP__btc_z60,CONT,301,0.48096857790735337,0.14701963799715076,0.47333980172092605
BRIDGE_2025,DROP__btc_z60,REV,301,0.5235131396957123,0.16463344819161196,0.5127273942345022
BRIDGE_2025,DROP__btc_z4h,CONT,301,0.4872853903466148,0.14760510315179604,0.47464966540337006
BRIDGE_2025,DROP__btc_z4h,REV,301,0.5354080221300138,0.163859710138461,0.5104842497616839
BRIDGE_2025,DROP__btc_z24h,CONT,301,0.5063168124392614,0.14564635585523972,0.46938085826307
BRIDGE_2025,DROP__btc_z24h,REV,301,0.491701244813278,0.16586108675079858,0.5159968379833642
BRIDGE_2025,DROP__btc_vol_z,CONT,301,0.48898607061872373,0.1462890169097292,0.47189505467540005
BRIDGE_2025,DROP__btc_vol_z,REV,301,0.5254495159059475,0.16240940004593582,0.5073930983811298
BRIDGE_2025,DROP__btc_range_z,CONT,301,0.48121153223194035,0.14769116285463735,0.474858505677362
