component_type,component,comparison,auc_delta_BRIDGE_2025,return_delta_BRIDGE_2025,hit_delta_BRIDGE_2025,auc_delta_OOS_2026,return_delta_OOS_2026,hit_delta_OOS_2026,robust_transfer
CORE_FEATURE,impulse_dir,DROP__impulse_dir,-0.00047589476414944265,0.00044787058762522144,0.003921568627450994,0.00041165709505125436,0.0,0.0,False
CORE_FEATURE,btc_z15,DROP__btc_z15,0.00711624305916797,-0.001126344957586014,-0.0037037037037036813,-0.02608313148915342,-0.001832709621300754,-0.025000000000000022,False
CORE_FEATURE,btc_z60,DROP__btc_z60,0.0034090893816527412,0.0016730280288561159,-0.004081632653061218,-0.00231602496657235,-0.00033783331968864454,-0.016304347826086973,False
CORE_FEATURE,btc_z4h,DROP__btc_z4h,-0.005696758055128814,-0.0012787510739151783,-0.008333333333333331,0.0008352330432621624,0.004866834728688949,-0.05978260869565216,False
CORE_FEATURE,btc_z24h,DROP__btc_z24h,0.006640919556915814,0.0025550709255259436,0.018181818181818188,0.014786661661661649,0.002880496306750759,-0.005952380952380931,False
CORE_FEATURE,btc_vol_z,DROP__btc_vol_z,-0.0015678450791500875,-0.0024877098507142775,-0.02950819672131147,-0.004893762375514088,0.003387563554170486,0.125,False
CORE_FEATURE,btc_range_z,DROP__btc_range_z,0.0012820797159014408,0.0003588868643753973,0.01666666666666669,0.0009903607987549745,0.002336048276158703,0.05357142857142855,True
CORE_FEATURE,btc_corr7d_lag,DROP__btc_corr7d_lag,0.007821885916982851,-0.00046066531751271975,0.020895522388059723,-0.026294405719588188,0.009467883236050119,0.09375,False
CORE_FEATURE,hour_sin,DROP__hour_sin,-0.0011328795497650423,0.0017023086154682766,0.0431372549019608,0.009042116934452726,-0.00023082232114103596,0.10227272727272729,False
CORE_FEATURE,hour_cos,DROP__hour_cos,-0.0002934605970426052,0.001969928338808594,0.021428571428571436,-0.006753560129472591,0.003277842476818958,0.05499999999999999,False
ADD_FAMILY,IMPULSE_PATH,CORE_PLUS__IMPULSE_PATH,0.0037103460234123586,0.0032261141876319638,0.04528301886792452,-0.011412210568232495,-0.0011897859231754272,-0.08333333333333331,False
ADD_FAMILY,PRE_STATE,CORE_PLUS__PRE_STATE,-0.007691806222587805,-0.004045468044556995,-0.06,-0.0306490112375149,-0.011857680836067393,-0.135,False
ADD_FAMILY,VOL_REGIME,CORE_PLUS__VOL_REGIME,0.003244397937005261,-0.00017604019265415384,-0.007692307692307693,-0.009333192681732827,-0.013114669682220161,-0.11693548387096775,False
ADD_FAMILY,BREAK_ACCEPTANCE,CORE_PLUS__BREAK_ACCEPTANCE,0.010262854400800103,0.002749313741267768,0.045614035087719274,-0.0026767186894924855,-0.002337867689608545,-0.028846153846153855,False
ADD_FAMILY,TREND_REGIME,CORE_PLUS__TREND_REGIME,-0.023795175054807494,-0.0010807859856337668,-0.06274509803921569,-0.028014784857850583,-0.010515374914080902,-0.10833333333333334,False
ADD_FAMILY,CALENDAR,CORE_PLUS__CALENDAR,0.026357620700918183,0.0021835043602526343,0.01818181818181816,0.029999662070829936,0.0027500934811194137,-0.030172413793103425,False
