impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
-1.0,,,,,,,0.04902701723793504,0.06540312923014312,-0.9978589232386035,335,2021-01-04 11:45:00+00:00,DEV_2021_2024,32068.84,32567.88,28130.0,30743.06,31776.66,H4_7D_PIVOT_SWEEP_RECLAIM,0.03362294949190048,-0.03362294949190048,0.03362294949190048
1.0,,,,,,,0.03106006470356981,0.8968727415326884,-0.44228869021900113,511,2021-01-06 07:45:00+00:00,DEV_2021_2024,34116.76,35766.58,34109.83,34676.4,36859.85,H4_7D_PIVOT_SWEEP_RECLAIM,0.06326081438148301,0.06326081438148301,-0.06326081438148301
1.0,0.5797508769533343,-1.179004340252446,,,1.0725498092959473,0.0009774144108752492,-0.0026926499843023498,-0.8314696123025452,-0.5555702330196022,735,2021-01-08 15:45:00+00:00,DEV_2021_2024,41286.67,41950.0,39777.0,40829.08,40525.15,H4_7D_PIVOT_SWEEP_RECLAIM,-0.00744371596022142,-0.00744371596022142,0.00744371596022142
-1.0,-0.15168807945461427,-0.12759119549538298,0.957294813427307,-0.5846855522664466,-0.5323946271482076,-0.785672521578154,-0.06057664307835924,-0.8968727415326885,0.442288690219001,1903,2021-01-20 19:45:00+00:00,DEV_2021_2024,34193.11,35311.0,33400.0,35197.12,32468.66,H4_7D_PIVOT_SWEEP_RECLAIM,-0.07751941067905566,0.07751941067905566,-0.07751941067905566
-1.0,0.5669352221478764,0.4813372545280736,0.09461109300740764,-1.6336165380143175,0.288978521465343,0.17386122275998567,0.03482993849681642,0.8314696123025451,0.5555702330196024,2031,2021-01-22 03:45:00+00:00,DEV_2021_2024,30851.99,31029.79,28850.0,30943.4,32365.01,H4_7D_PIVOT_SWEEP_RECLAIM,0.04594226878752816,-0.04594226878752816,0.04594226878752816
1.0,-0.006152316973975321,0.1012352129524914,0.047104901392049855,2.174626528029492,1.22666439372512,0.391067295781389,-0.023896839961479885,-0.8314696123025452,-0.5555702330196022,2751,2021-01-29 15:45:00+00:00,DEV_2021_2024,37023.83,38531.9,36456.78,37129.4,34210.2,H4_7D_PIVOT_SWEEP_RECLAIM,-0.07862233162938281,-0.07862233162938281,0.07862233162938281
1.0,-0.09498936865720774,1.3402964848481516,0.1504156966652692,3.2362860835838028,0.8196515511812542,-0.5953380105276977,-9.00864579421508e-05,0.8314696123025451,0.5555702330196024,3759,2021-02-09 03:45:00+00:00,DEV_2021_2024,46374.86,47498.0,45500.0,46599.51,46221.07,H4_7D_PIVOT_SWEEP_RECLAIM,-0.00812111543662164,-0.00812111543662164,0.00812111543662164
1.0,0.5748852238472933,0.11938690656419076,1.5596068293956484,0.8440753685113527,0.6727545111057412,-0.28303979400964124,-0.02623189582012722,-0.8314696123025452,-0.5555702330196022,3994,2021-02-11 15:45:00+00:00,DEV_2021_2024,46061.48,48399.0,46060.03,47960.85,47021.05,H4_7D_PIVOT_SWEEP_RECLAIM,-0.019595353377733327,-0.019595353377733327,0.019595353377733327
1.0,0.4859258048966176,0.3893759791841504,0.11063020369509066,0.8552227564341216,0.4548514326466497,0.07354095966490007,-0.02811214719826785,-0.0654031292301428,0.9978589232386035,4026,2021-02-11 23:45:00+00:00,DEV_2021_2024,47754.02,48678.9,46542.29,47969.51,47287.6,H4_7D_PIVOT_SWEEP_RECLAIM,-0.014198020123972754,-0.014198020123972754,0.014198020123972754
1.0,0.10232744102221401,-0.6225150510608899,-0.4103187576513735,0.9453969751214022,0.13233699893808293,-0.5319940071972967,-0.029820819044566627,0.8314696123025451,0.5555702330196024,4042,2021-02-12 03:45:00+00:00,DEV_2021_2024,47968.66,48985.8,47338.35,47587.31,47829.22,H4_7D_PIVOT_SWEEP_RECLAIM,0.00508349810064912,0.00508349810064912,-0.00508349810064912
1.0,-0.2204147118779384,-0.061854656810799914,1.2261596576936507,0.537168543490527,-0.050179311995889625,-0.695113523671849,-0.02876834363143265,0.8968727415326884,-0.44228869021900113,4250,2021-02-14 07:45:00+00:00,DEV_2021_2024,47267.2,49404.94,47220.42,48725.18,47267.06,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0299253897061027,-0.0299253897061027,0.0299253897061027
1.0,0.025972062936894774,-0.39249265517085286,-0.5043310447104724,0.4276085901357792,0.0545935635230683,-0.5806483889460876,-0.025300649319911307,-0.8314696123025452,-0.5555702330196022,4282,2021-02-14 15:45:00+00:00,DEV_2021_2024,49055.17,49707.43,48101.38,48541.18,47938.83,H4_7D_PIVOT_SWEEP_RECLAIM,-0.012343534833355152,-0.012343534833355152,0.012343534833355152
1.0,0.6665700988015295,0.19894465703323658,-0.47530257987390895,0.5599908092226514,0.23108166711730857,-0.24725340517531608,-0.06328513869389225,0.8968727415326884,-0.44228869021900113,4442,2021-02-16 07:45:00+00:00,DEV_2021_2024,49624.02,49998.0,48550.0,49163.46,51112.39,H4_7D_PIVOT_SWEEP_RECLAIM,0.03967800169847502,0.03967800169847502,-0.03967800169847502
1.0,-0.8748321407423328,-0.6021297668066374,-0.04513627898513674,0.20284223198889206,0.267298453681357,-0.4657541887127204,-0.07781537967309218,-0.8314696123025452,-0.5555702330196022,4474,2021-02-16 15:45:00+00:00,DEV_2021_2024,48915.49,50689.18,48403.21,48956.91,51169.97,H4_7D_PIVOT_SWEEP_RECLAIM,0.04520424185268235,0.04520424185268235,-0.04520424185268235
1.0,-0.27420840798521834,-0.018068437216707152,-0.10870493281481644,0.888771915356026,-0.18264434404737664,-0.9041893467386777,-0.04796739982917344,-0.0654031292301428,0.9978589232386035,4602,2021-02-17 23:45:00+00:00,DEV_2021_2024,52142.36,52618.74,51893.34,52119.71,51552.6,H4_7D_PIVOT_SWEEP_RECLAIM,-0.010842196130410264,-0.010842196130410264,0.010842196130410264
1.0,0.08819758489118326,-0.7221763029166696,-0.2705917131144609,1.3086531559659325,0.5519920205225844,-0.2713438893207942,-0.0638333413089608,0.8314696123025451,0.5555702330196024,4810,2021-02-20 03:45:00+00:00,DEV_2021_2024,55906.0,56609.14,55322.0,55706.07,56505.22,H4_7D_PIVOT_SWEEP_RECLAIM,0.01423968667376263,0.01423968667376263,-0.01423968667376263
1.0,0.29877967443406606,-0.27478493262210885,-0.30726577635278257,0.47921860567331276,0.6308945167328858,-0.20388804218476472,-0.07070913770546075,-0.8314696123025452,-0.5555702330196022,4858,2021-02-20 15:45:00+00:00,DEV_2021_2024,56355.94,57700.46,55722.11,56145.97,57313.99,H4_7D_PIVOT_SWEEP_RECLAIM,0.020974570043937435,0.020974570043937435,-0.020974570043937435
-1.0,2.0128738944747333,-2.047299801762711,-2.2804696479885145,-2.333927270483631,1.296440583056101,1.735380278714335,0.03308495582818164,0.8968727415326884,-0.44228869021900113,5402,2021-02-26 07:45:00+00:00,DEV_2021_2024,47331.34,47786.5,44106.78,44973.68,47158.53,H4_7D_PIVOT_SWEEP_RECLAIM,0.04827039995340887,-0.04827039995340887,0.04827039995340887
-1.0,0.24824463572258013,0.018345274102430097,-0.28873111949217023,-1.3107566759106226,-0.34594199190397856,0.3030388707894415,0.01176966952937035,0.8968727415326884,-0.44228869021900113,5594,2021-02-28 07:45:00+00:00,DEV_2021_2024,44632.7,45600.0,43738.65,44400.83,46288.18,H4_7D_PIVOT_SWEEP_RECLAIM,0.04250708826839489,-0.04250708826839489,0.04250708826839489
-1.0,2.4693757329903674,1.4524471229071514,1.0322147169556284,-1.391714765701791,0.746205019195411,1.4934432000532585,0.010114727099983525,-0.8968727415326885,0.442288690219001,5642,2021-02-28 19:45:00+00:00,DEV_2021_2024,43391.14,44521.66,43000.0,44405.32,48262.83,H4_7D_PIVOT_SWEEP_RECLAIM,0.08693017209694509,-0.08693017209694509,0.08693017209694509
1.0,0.9293633131757825,-0.06725202933851422,-0.929700672569515,0.5439641623180919,0.35879551141213517,-0.24809761394247346,-0.05875712267408216,-0.8314696123025452,-0.5555702330196022,5914,2021-03-03 15:45:00+00:00,DEV_2021_2024,51665.83,52640.0,50481.0,50767.36,49412.6,H4_7D_PIVOT_SWEEP_RECLAIM,-0.026685458271901163,-0.026685458271901163,0.026685458271901163
1.0,-0.391127782573674,-0.5441512817134173,-0.33936460853094264,1.1906533991709283,0.1801317801970805,0.04575558333512474,-0.029492575658883982,0.8968727415326884,-0.44228869021900113,6452,2021-03-09 07:45:00+00:00,DEV_2021_2024,53840.63,54448.0,53409.57,53546.9,54173.38,H4_7D_PIVOT_SWEEP_RECLAIM,0.011699839150322244,0.011699839150322244,-0.011699839150322244
1.0,-0.4485823574342362,-0.6887190049978179,-0.20164796213679634,0.8798924937718706,0.4034347440742345,-0.1268907860871123,-0.02568206176143366,-0.8314696123025452,-0.5555702330196022,6484,2021-03-09 15:45:00+00:00,DEV_2021_2024,54235.88,54815.84,53538.77,54097.02,56328.81,H4_7D_PIVOT_SWEEP_RECLAIM,0.04125512990269509,0.04125512990269509,-0.04125512990269509
1.0,-0.06567829615796489,-0.8226992554762682,-1.3131045984063072,-0.33485696571862417,0.6194959167411146,0.08474024263862114,-0.007362435850473067,0.8314696123025451,0.5555702330196024,6532,2021-03-10 03:45:00+00:00,DEV_2021_2024,54874.67,55813.09,53134.8,53467.8,55992.6,H4_7D_PIVOT_SWEEP_RECLAIM,0.047210563711266085,0.047210563711266085,-0.047210563711266085
1.0,-1.4537328202808928,-1.194476675070762,0.37455144664349455,-0.11158834352395765,0.4892504666121554,0.9035273836042584,-0.04711835633425732,-0.8968727415326885,0.442288690219001,6692,2021-03-11 19:45:00+00:00,DEV_2021_2024,56347.19,57682.0,56269.76,56827.84,56942.41,H4_7D_PIVOT_SWEEP_RECLAIM,0.0020876823048379123,0.0020876823048379123,-0.0020876823048379123
1.0,0.21211686305317035,-0.13318853043886295,-0.20515172596707348,0.8395307561608465,-0.37155411201590127,-1.0280088372611194,0.02451425521175065,-0.8314696123025452,-0.5555702330196022,6868,2021-03-13 15:45:00+00:00,DEV_2021_2024,59853.58,60500.0,59232.53,59692.99,59681.26,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0001966729767308717,-0.0001966729767308717,0.0001966729767308717
