setup_id,setup_server,setup_utc,symbol,side,actual_state,variant,retrace_ATR,atr,confirm_ref,basis,entry,sl,tp,filled,fill_time_utc,status,exit_time_utc,exit_px,R_realized,R_mtm_cutoff,MFE_R,MAE_R
1,2026-09-24 05:30:26,2026-09-24 02:30:26,BTCUSDT,BUY,expired,R060,0.6,177.6511111111,84147.4506666667,-24.549333333299728,84040.86000000004,83241.4300000001,85817.37111111105,False,,NO_FILL,,,,,,
1,2026-09-24 05:30:26,2026-09-24 02:30:26,BTCUSDT,BUY,expired,R040,0.4,177.6511111111,84147.4506666667,-24.549333333299728,84076.39022222225,83276.9602222223,85852.90133333326,False,,NO_FILL,,,,,,
1,2026-09-24 05:30:26,2026-09-24 02:30:26,BTCUSDT,BUY,expired,R020,0.2,177.6511111111,84147.4506666667,-24.549333333299728,84111.92044444448,83312.49044444453,85888.43155555548,False,,NO_FILL,,,,,,
1,2026-09-24 05:30:26,2026-09-24 02:30:26,BTCUSDT,BUY,expired,R000,0.0,177.6511111111,84147.4506666667,-24.549333333299728,84147.4506666667,83348.02066666675,85923.9617777777,True,2026-09-24 02:30:26,SL,2026-09-24 08:49:00,83348.02066666675,-0.9999999999999993,-0.9999999999999993,0.5629135759228737,1.0895262874798977
2,2026-09-24 09:00:33,2026-09-24 06:00:33,BTCUSDT,SELL,filled,R060,0.6,225.5933333333,83958.234,-19.76600000000326,84093.58999999998,85108.75999999983,81837.65666666698,True,2026-09-24 06:08:00,OPEN,,,,-0.3328348946482559,1.2199198163856055,0.8167045913493645
2,2026-09-24 09:00:33,2026-09-24 06:00:33,BTCUSDT,SELL,filled,R040,0.4,225.5933333333,83958.234,-19.76600000000326,84048.47133333332,85063.64133333317,81792.53800000032,True,2026-09-24 06:08:00,OPEN,,,,-0.37727933909270206,1.1754753719411595,0.8611490357938106
2,2026-09-24 09:00:33,2026-09-24 06:00:33,BTCUSDT,SELL,filled,R020,0.2,225.5933333333,83958.234,-19.76600000000326,84003.35266666666,85018.52266666651,81747.41933333366,True,2026-09-24 06:04:00,OPEN,,,,-0.42172378353714823,1.1310309274967132,0.9055934802382568
2,2026-09-24 09:00:33,2026-09-24 06:00:33,BTCUSDT,SELL,filled,R000,0.0,225.5933333333,83958.234,-19.76600000000326,83958.234,84973.40399999985,81702.300666667,True,2026-09-24 06:00:33,OPEN,,,,-0.46616822798159435,1.0865864830522671,0.950037924682703
3,2026-09-24 12:30:26,2026-09-24 09:30:26,ETHUSDT,SELL,expired,R060,0.6,10.2266666667,2653.114,5.4340000000001965,2659.25000000002,2705.27000000017,2556.98333333302,True,2026-09-24 09:30:00,SL,2026-09-24 16:41:00,2705.27000000017,-1.000000000000001,-1.000000000000001,1.166145154277375,1.0000869187272994
3,2026-09-24 12:30:26,2026-09-24 09:30:26,ETHUSDT,SELL,expired,R040,0.4,10.2266666667,2653.114,5.4340000000001965,2657.20466666668,2703.22466666683,2554.93799999968,True,2026-09-24 09:30:00,SL,2026-09-24 14:32:00,2703.22466666683,-1.000000000000001,-1.000000000000001,1.1217007098329341,1.042792988552017
