variant,retrace_ATR,fills,fill_rate,SL,TP,OPEN,NO_FILL,sum_R_realized_closed,sum_R_mtm_cutoff_filled,mean_MFE_R_filled,mean_MAE_R_filled,delta_R_mtm_vs_R060
R060,0.6,3,0.42857142857142855,2,0,1,4,-1.9999999999999987,-2.3328348946482547,0.8168847352635518,0.9485622314031162,0.0
R040,0.4,5,0.7142857142857143,2,0,3,2,-1.9999999999999987,-2.1128696886834906,0.567136842533056,0.6988659619638933,0.2199652059647641
R020,0.2,5,0.7142857142857143,2,0,3,2,-1.9999999999999987,-2.246203022016829,0.5433156275503062,0.715869572087096,0.08663187263142547
R000,0.0,7,1.0,3,0,4,0,-2.9999999999999982,-1.747393210285598,0.6946717012441137,0.7131208495704903,0.5854416843626566
