decision_time,entry_time,split,impulse_dir,btc_lr60,btc_z60,paxg_z15,paxg_z60,paxg_pre60_z,paxg_accel_z,paxg_state,paxg_pre_state,paxg_corr7d,paxg_corr30d,btc_fwd_15m,btc_fwd_1h,btc_fwd_4h,btc_fwd_24h,cont_15m,cont_1h,cont_4h,cont_24h
2021-01-21 08:45:00+00:00,2021-01-21 09:00:00+00:00,DEV_2021_2024,-1.0,-0.04083099595391397,-2.740443523169735,0.7939849334176013,0.43213524956210997,-0.6514377677465754,1.0835730173086853,NEUTRAL,ALIGNED_LEAD,0.124856957943112,0.05959573628564747,-0.009362249057848104,-0.010813310411598276,-0.022937780968260713,-0.05149086550409265,0.009362249057848104,0.010813310411598276,0.022937780968260713,0.05149086550409265
2021-01-21 14:30:00+00:00,2021-01-21 14:45:00+00:00,DEV_2021_2024,-1.0,-0.04219123534249757,-2.796993473669985,0.9744440141650503,0.51608758175104,-0.6608832858963206,1.1769708676473605,INVERSE,ALIGNED_LEAD,0.08680332860130441,0.053589918347086186,-0.0010281209831515259,0.012852633642912448,0.01920622267902261,0.03445759169147533,0.0010281209831515259,-0.012852633642912448,-0.01920622267902261,-0.03445759169147533
2021-01-21 22:00:00+00:00,2021-01-21 22:15:00+00:00,DEV_2021_2024,-1.0,-0.041669008251843304,-2.7546210044235075,-0.7390399044768712,0.18323700721004663,-0.5268302538080676,0.7100672610181142,NEUTRAL,ALIGNED_LEAD,0.07933469860995722,0.05108392391713597,-0.011271828012940799,0.007298938449138204,-0.00432621688741186,0.09028215850636334,0.011271828012940799,-0.007298938449138204,0.00432621688741186,-0.09028215850636334
2021-01-22 02:00:00+00:00,2021-01-22 02:15:00+00:00,DEV_2021_2024,1.0,0.04575790113132513,2.9700658884122317,0.6605832478805321,-0.34306491087836166,0.6747045232778083,-1.01776943415617,NEUTRAL,ALIGNED_LEAD,0.06048835282316117,0.04822549292007091,0.00020385720147708675,0.0014063192449733641,0.03795486253590474,0.07049519901518253,0.00020385720147708675,0.0014063192449733641,0.03795486253590474,0.07049519901518253
2021-01-29 08:30:00+00:00,2021-01-29 08:45:00+00:00,DEV_2021_2024,1.0,0.03937025020172971,2.7057841278881805,0.7228520952485284,-0.18634884429778556,-0.1990753013873957,0.01272645708961015,NEUTRAL,NEUTRAL,0.17874397825275368,0.062030393584551716,0.08711501264692734,0.08606630157762596,0.12429625967717928,0.020622351224615976,0.08711501264692734,0.08606630157762596,0.12429625967717928,0.020622351224615976
2021-02-04 09:15:00+00:00,2021-02-04 09:30:00+00:00,DEV_2021_2024,-1.0,-0.03927136552396161,-2.7419605722842064,-0.4462267669233448,-0.9495044084262718,-0.30080513749098714,-0.6486992709352847,ALIGNED,NEUTRAL,0.18045978209235147,0.06514798878253783,-0.0010307852959230424,0.007865655751066347,0.006586319929717144,0.01034040124232205,0.0010307852959230424,-0.007865655751066347,-0.006586319929717144,-0.01034040124232205
2021-02-08 12:45:00+00:00,2021-02-08 13:00:00+00:00,DEV_2021_2024,1.0,0.08647815033832536,6.286243246650887,0.39788475929235034,0.5281848945307549,0.7752470310810771,-0.24706213655032216,ALIGNED,ALIGNED_LEAD,0.23628045037606674,0.06424202051230617,-0.01094661347796988,-0.002022842415806525,0.004331139419789576,0.05388275237779938,-0.01094661347796988,-0.002022842415806525,0.004331139419789576,0.05388275237779938
2021-02-08 23:15:00+00:00,2021-02-08 23:30:00+00:00,DEV_2021_2024,1.0,0.03950807341823496,2.76641456289288,2.103087893900996,1.3650260648087884,-0.007086258173834879,1.3721123229826233,ALIGNED,NEUTRAL,0.20771516761438572,0.06846627205675365,-0.003995110113355738,0.010979951291603562,0.0006144824797820192,0.006234648760169437,-0.003995110113355738,0.010979951291603562,0.0006144824797820192,0.006234648760169437
2021-02-11 13:15:00+00:00,2021-02-11 13:30:00+00:00,DEV_2021_2024,1.0,0.03724928476096164,2.895316716660461,-0.9060433881066007,-0.10740831801231207,0.6116902803459008,-0.7190985983582129,NEUTRAL,ALIGNED_LEAD,0.26776211659276844,0.1339693676369732,-0.004784394374389378,-0.008595434199547558,-0.016043603953912244,-0.00514594389492018,-0.004784394374389378,-0.008595434199547558,-0.016043603953912244,-0.00514594389492018
2021-02-11 21:15:00+00:00,2021-02-11 21:30:00+00:00,DEV_2021_2024,-1.0,-0.0341211745841383,-2.7466538982066733,-1.8909214837639832,-1.3427553561053336,0.008151896368823065,-1.3509072524741566,ALIGNED,NEUTRAL,0.26708884552795326,0.15064752354337324,-0.004685519330535515,0.006138618035842258,0.023440798897655046,0.014889790001258563,0.004685519330535515,-0.006138618035842258,-0.023440798897655046,-0.014889790001258563
