time,ratio,delta,q20,q80,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,delta_lo,delta_hi,delta_mid,side_arc,recovered_side,recovered_label,certain,certain_correct,short_arc,buy_arc,short_pred,buy_pred,nearest_threshold_dist
2026-08-12 11:15:00+00:00,1.64996326,-0.07996111999999989,-0.041171062000000036,0.04311316999999991,1.6497,0.6226,0.3774,0.62255,0.6226499999999999,1.6493575307987816,1.650059626341592,0.0007020955428105324,True,-0.08101789582237906,-0.07957050877509997,-0.08029420229873951,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.03879005799999985
2026-08-12 11:30:00+00:00,1.64847207,-0.07908459000000012,-0.04123395599999998,0.04311316999999991,1.6483,0.6224,0.3776,0.62235,0.62245,1.6479544551833705,1.648655807177857,0.0007013519944865099,True,-0.08018631688046773,-0.07874089267213669,-0.07946360477630221,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.03785063400000014
2026-08-12 11:45:00+00:00,1.64847207,-0.07528754000000015,-0.041300092,0.04311316999999991,1.6364,0.6207,0.3793,0.62065,0.6207499999999999,1.6360880453407147,1.636783124588002,0.0006950792472872891,True,-0.08833641999098396,-0.08689929404198593,-0.08761785701648495,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.033987448000000156
2026-08-12 12:00:00+00:00,1.63537194,-0.08924869999999996,-0.04131237400000005,0.04311316999999991,1.635,0.6205,0.3795,0.6204500000000001,0.6205499999999999,1.634698985640891,1.6353933324548684,0.0006943468139775089,True,-0.09046793083274318,-0.08903113287683029,-0.08974953185478673,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.04793632599999991
2026-08-12 12:15:00+00:00,1.61471231,-0.12757260999999986,-0.04132716600000003,0.04311316999999991,1.6144,0.6175,0.3825,0.61745,0.61755,1.614037380734545,1.6147208785462155,0.0006834978116705415,True,-0.12831830279760892,-0.12688295969915786,-0.1276006312483834,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.08624544399999984
2026-08-12 12:30:00+00:00,1.58422596,-0.13521817000000014,-0.041356537999999964,0.04311316999999991,1.584,0.613,0.387,0.61295,0.61305,1.5836455238341298,1.5843132187621138,0.0006676949279840194,True,-0.1363327163399486,-0.13492539442619322,-0.1356290553830709,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.09386163200000017
2026-08-12 12:45:00+00:00,1.56875321,-0.1397913100000001,-0.041364892000000084,0.043100451999999886,1.5687,0.6107,0.3893,0.61065,0.61075,1.568383202773854,1.5690430314707773,0.0006598286969232703,True,-0.1405427081024837,-0.13914925018122015,-0.13984597914185193,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.09842641800000003
2026-08-12 13:00:00+00:00,1.57078153,-0.13011889999999982,-0.041386318000000075,0.04309716600000004,1.5707,0.611,0.389,0.61095,0.61105,1.5703637064644647,1.5710245532844838,0.0006608468200191009,True,-0.1312437499721153,-0.12985323199573262,-0.13054849098392396,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.08873258199999974
2026-08-12 13:15:00+00:00,1.56992043,-0.11322013999999991,-0.041392414000000065,0.04309716600000004,1.57,0.6109,0.3891,0.61085,0.61095,1.569703199280483,1.5703637064644647,0.0006605071839815846,True,-0.11377996186268047,-0.1123995396790638,-0.11308975077087213,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.07182772599999984
2026-08-12 13:30:00+00:00,1.58483867,-0.08784727000000014,-0.041398454000000126,0.04309716600000004,1.5846,0.6131,0.3869,0.61305,0.61315,1.5843132187621138,1.584981258885873,0.0006680401237590949,True,-0.08841162421530169,-0.08702942915687939,-0.08772052668609054,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.04644881600000002
2026-08-12 13:45:00+00:00,1.53069945,-0.13574202000000013,-0.04141284000000004,0.04309716600000004,1.531,0.6049,0.3951,0.60485,0.60495,1.5306845501708213,1.5313251487153523,0.0006405985445310236,True,-0.13633771946513007,-0.13498600979684605,-0.13566186463098806,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.0943291800000001
2026-08-12 14:00:00+00:00,1.54212061,-0.1136018700000001,-0.041443437999999895,0.04309716600000004,1.5419,0.6066,0.3934,0.60655,0.6066499999999999,1.5416190113102048,1.5422651582560056,0.0006461469458007851,True,-0.11477626030621213,-0.11342465717355266,-0.1141004587398824,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.07215843200000022
2026-08-12 14:15:00+00:00,1.54874845,-0.1012148100000001,-0.04145585600000014,0.04309716600000004,1.5491,0.6077,0.3923,0.60765,0.60775,1.5487447432139674,1.5493945188017846,0.0006497755878172029,True,-0.10131488312762471,-0.09996301199699698,-0.10063894756231084,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.05975895399999996
2026-08-12 14:30:00+00:00,1.57393652,-0.07453555,-0.04149255200000014,0.04309716600000004,1.574,0.6115,0.3885,0.61145,0.61155,1.5736713421696054,1.5743338911056766,0.0006625489360712056,True,-0.07498446500825162,-0.0736205640776939,-0.07430251454297276,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.033042997999999865
2026-08-12 14:45:00+00:00,1.60498094,-0.043491130000000044,-0.04149255200000014,0.04309716600000004,1.6048,0.6161,0.3839,0.61605,0.61615,1.6045057950253938,1.6051843167904127,0.0006785217650189246,True,-0.032277329562608204,-0.03090372855030199,-0.0315905290564551,1,0.0,CERTAIN_NEUTRAL,True,False,False,True,False,False,0.0019985779999999037
2026-08-12 15:00:00+00:00,1.65770268,0.022330740000000127,-0.04149255200000014,0.04309716600000004,1.6575,0.6237,0.3763,0.62365,0.62375,1.657101102696958,1.6578073089700998,0.000706206273141774,True,0.021707770242089586,0.02310832332920887,0.022408046785649227,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.020766425999999914
2026-08-12 15:15:00+00:00,1.6781247,0.06341238999999987,-0.04145585600000014,0.04309716600000004,1.6781,0.6266,0.3734,0.62655,0.6266499999999999,1.6777346364975234,1.678451854827909,0.0007172183303856272,True,0.06301375795130792,0.0644144740933641,0.06371411602233601,-1,-1.0,CERTAIN_SHORT,True,True,True,False,True,False,0.020315223999999833
2026-08-12 15:30:00+00:00,1.69804409,0.11381813000000007,-0.041443437999999895,0.043100451999999886,1.6983,0.6294,0.3706,0.6293500000000001,0.62945,1.6979630379063813,1.6986911347996219,0.000728096893240604,True,0.11364981914426742,0.11504561096549204,0.11434771505487973,-1,-1.0,CERTAIN_SHORT,True,True,True,False,True,False,0.07071767800000019
2026-08-12 15:45:00+00:00,1.70671536,0.13796215000000012,-0.04141284000000004,0.04311316999999991,1.7064,0.6305,0.3695,0.63045,0.6305499999999999,1.7059937762143145,1.7067262146433884,0.0007324384290738895,True,0.1369507447435372,0.13834301186953435,0.13764687830653577,-1,-1.0,CERTAIN_SHORT,True,True,True,False,True,False,0.09484898000000021
2026-08-12 16:00:00+00:00,1.71490836,0.14412682999999982,-0.041398454000000126,0.04312190200000009,1.7152,0.6317,0.3683,0.63165,0.63175,1.7148092846477538,1.7155465037338766,0.0007372190861227867,True,0.14378473136327008,0.14518279726941197,0.14448376431634102,-1,-1.0,CERTAIN_SHORT,True,True,True,False,True,False,0.10100492799999973
