time,ratio,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,archive_inside_cell
2026-08-12 08:10:00+00:00,1.73250537,1.7322,0.634,0.366,0.63395,0.63405,1.7318672312525611,1.7326137450471375,0.0007465137945763534,True,True
2026-08-12 08:15:00+00:00,1.73362073,1.7337,0.6342,0.3658,0.63415,0.63425,1.7333606669400026,1.734107997265892,0.0007473303258893615,True,True
2026-08-12 08:20:00+00:00,1.73099348,1.7307,0.6338,0.3662,0.63375,0.63385,1.7303754266211606,1.7311211252219039,0.0007456986007432498,True,True
2026-08-12 08:25:00+00:00,1.72992438,1.73,0.6337,0.3663,0.63365,0.63375,1.729630135116692,1.7303754266211606,0.0007452915044685593,True,True
2026-08-12 08:30:00+00:00,1.7306351,1.7307,0.6338,0.3662,0.63375,0.63385,1.7303754266211606,1.7311211252219039,0.0007456986007432498,True,True
2026-08-12 08:35:00+00:00,1.72895193,1.7293,0.6336,0.3664,0.6335500000000001,0.63365,1.7288852503752221,1.729630135116692,0.0007448847414699422,True,True
2026-08-12 08:40:00+00:00,1.72755666,1.7278,0.6334,0.3666,0.6333500000000001,0.63345,1.7273966998499937,1.7281407720638382,0.0007440722138445377,True,True
2026-08-12 08:45:00+00:00,1.72668726,1.727,0.6333,0.3667,0.63325,0.63335,1.7266530334014996,1.727396699849993,0.0007436664484934408,True,True
2026-08-12 08:50:00+00:00,1.72509433,1.7248,0.633,0.367,0.63295,0.63305,1.7244244653316987,1.725166916473634,0.0007424511419353852,True,True
2026-08-12 08:55:00+00:00,1.72375961,1.7241,0.6329,0.3671,0.63285,0.63295,1.723682418629988,1.7244244653316987,0.0007420467017107413,True,True
2026-08-12 09:00:00+00:00,1.72216059,1.7218,0.6326,0.3674,0.6325500000000001,0.6326499999999999,1.7214587018641996,1.722199537226078,0.0007408353618785224,True,True
2026-08-12 09:05:00+00:00,1.72298025,1.7233,0.6328,0.3672,0.63275,0.6328499999999999,1.7229407760381215,1.723682418629987,0.0007416425918655989,True,True
2026-08-12 09:10:00+00:00,1.72462064,1.7248,0.633,0.367,0.63295,0.63305,1.7244244653316987,1.725166916473634,0.0007424511419353852,True,True
2026-08-12 09:15:00+00:00,1.73684644,1.7367,0.6346,0.3654,0.6345500000000001,0.6346499999999999,1.736352442194555,1.7371014096072255,0.0007489674126703871,True,True
2026-08-12 09:20:00+00:00,1.74064529,1.7405,0.6351,0.3649,0.63505,0.63515,1.7401013837511987,1.7408524050979854,0.0007510213467867288,True,True
2026-08-12 09:25:00+00:00,1.74228492,1.742,0.6353,0.3647,0.63525,0.63535,1.7416038382453733,1.7423556835321539,0.000751845286780517,True,True
2026-08-12 09:30:00+00:00,1.71865779,1.7189,0.6322,0.3678,0.63215,0.63225,1.7184993883376376,1.719238613188307,0.0007392248506694621,True,True
2026-08-12 09:35:00+00:00,1.72190348,1.7218,0.6326,0.3674,0.6325500000000001,0.6326499999999999,1.7214587018641996,1.722199537226078,0.0007408353618785224,True,True
2026-08-12 09:40:00+00:00,1.71944413,1.7196,0.6323,0.3677,0.63225,0.63235,1.719238613188307,1.7199782401740784,0.0007396269857713467,True,True
2026-08-12 09:45:00+00:00,1.71477562,1.7144,0.6316,0.3684,0.6315500000000001,0.63165,1.7140724657348356,1.7148092846477538,0.0007368189129182134,True,True
2026-08-12 09:50:00+00:00,1.70936089,1.7093,0.6309,0.3691,0.63085,0.63095,1.7089259108763377,1.7096599376778214,0.0007340268014837115,True,True
2026-08-12 09:55:00+00:00,1.70854452,1.7086,0.6308,0.3692,0.63075,0.63085,1.7081922816519974,1.7089259108763377,0.000733629224340282,True,True
2026-08-12 10:00:00+00:00,1.71137652,1.7115,0.6312,0.3688,0.63115,0.63125,1.7111291853056798,1.711864406779661,0.0007352214739810847,True,True
2026-08-12 10:05:00+00:00,1.70539406,1.7056,0.6304,0.3696,0.63035,0.63045,1.7052617340727714,1.7059937762143145,0.0007320421415430989,True,True
2026-08-12 10:10:00+00:00,1.70090043,1.7012,0.6298,0.3702,0.62975,0.62985,1.7008777852802164,1.70160745643658,0.000729671156363576,True,True
2026-08-12 10:15:00+00:00,1.69042124,1.6903,0.6283,0.3717,0.62825,0.62835,1.6899798251513112,1.6907036189963673,0.0007237938450561643,True,True
2026-08-12 10:20:00+00:00,1.68783979,1.6882,0.628,0.372,0.62795,0.62805,1.6878107781212204,1.6885334050275576,0.000722626906337176,True,True
2026-08-12 10:25:00+00:00,1.68314057,1.6831,0.6273,0.3727,0.6272500000000001,0.62735,1.6827632461435285,1.6834831611431635,0.0007199149996350851,True,True
2026-08-12 10:30:00+00:00,1.67823262,1.6781,0.6266,0.3734,0.62655,0.6266499999999999,1.6777346364975234,1.678451854827909,0.0007172183303856272,True,True
2026-08-12 10:35:00+00:00,1.67533725,1.6752,0.6262,0.3738,0.62615,0.62625,1.6748696001069947,1.6755852842809362,0.0007156841739415221,True,True
2026-08-12 10:40:00+00:00,1.67268594,1.6724,0.6258,0.3742,0.62575,0.62585,1.6720106880427523,1.6727248429774155,0.0007141549346632026,True,True
2026-08-12 10:45:00+00:00,1.67157637,1.6717,0.6257,0.3743,0.62565,0.62575,1.6712969146520638,1.6720106880427523,0.0007137733906885657,True,True
2026-08-12 10:50:00+00:00,1.66918395,1.6695,0.6254,0.3746,0.6253500000000001,0.62545,1.6691578806886433,1.6698705112802026,0.0007126305915592379,True,True
2026-08-12 10:55:00+00:00,1.66644147,1.6667,0.625,0.375,0.62495,0.62505,1.6663111585121984,1.6670222696359513,0.0007111111237529943,True,True
2026-08-12 11:00:00+00:00,1.66408397,1.6638,0.6246,0.3754,0.62455,0.6246499999999999,1.66347050206419,1.664180098574663,0.0007095965104730872,True,True
2026-08-12 11:05:00+00:00,1.65928955,1.6596,0.624,0.376,0.62395,0.62405,1.6592208482914506,1.6599281819390876,0.0007073336476370873,True,True
2026-08-12 11:10:00+00:00,1.65572248,1.656,0.6235,0.3765,0.6234500000000001,0.62355,1.6556898154295583,1.656395271616417,0.0007054561868586884,True,True
2026-08-12 11:15:00+00:00,1.65364121,1.6539,0.6232,0.3768,0.62315,0.62325,1.6535756932466497,1.6542800265428002,0.0007043332961504944,True,True
2026-08-12 11:20:00+00:00,1.6522184,1.6525,0.623,0.377,0.62295,0.62305,1.652168147460549,1.6528717336516778,0.0007035861911288688,True,True
2026-08-12 11:25:00+00:00,1.64996326,1.6497,0.6226,0.3774,0.62255,0.6226499999999999,1.6493575307987816,1.650059626341592,0.0007020955428105324,True,True
2026-08-12 11:30:00+00:00,1.65259823,1.6525,0.623,0.377,0.62295,0.62305,1.652168147460549,1.6528717336516778,0.0007035861911288688,True,True
2026-08-12 11:35:00+00:00,1.64895436,1.649,0.6225,0.3775,0.6224500000000001,0.6225499999999999,1.6486558071778576,1.649357530798781,0.0007017236209232447,True,True
2026-08-12 11:40:00+00:00,1.64847207,1.6483,0.6224,0.3776,0.62235,0.62245,1.6479544551833705,1.648655807177857,0.0007013519944865099,True,True
2026-08-12 12:00:00+00:00,1.6377934,1.6378,0.6209,0.3791,0.62085,0.62095,1.6374785704866148,1.638174383326738,0.0006958128401231001,True,True
2026-08-12 12:05:00+00:00,1.63800487,1.6378,0.6209,0.3791,0.62085,0.62095,1.6374785704866148,1.638174383326738,0.0006958128401231001,True,True
2026-08-12 12:10:00+00:00,1.63537194,1.635,0.6205,0.3795,0.6204500000000001,0.6205499999999999,1.634698985640891,1.6353933324548684,0.0006943468139775089,True,True
2026-08-12 12:15:00+00:00,1.63153038,1.6316,0.62,0.38,0.61995,0.62005,1.6312327325351927,1.6319252533228055,0.0006925207876127271,True,True
2026-08-12 12:20:00+00:00,1.62365404,1.624,0.6189,0.3811,0.61885,0.61895,1.623638987275351,1.624327516074006,0.0006885287986551081,True,True
2026-08-12 12:25:00+00:00,1.61471231,1.6144,0.6175,0.3825,0.61745,0.61755,1.614037380734545,1.6147208785462155,0.0006834978116705415,True,True
2026-08-12 12:30:00+00:00,1.59455838,1.5947,0.6146,0.3854,0.61455,0.6146499999999999,1.5943702166299134,1.5950434669780713,0.0006732503481579055,True,True
2026-08-12 12:35:00+00:00,1.58610001,1.586,0.6133,0.3867,0.6132500000000001,0.61335,1.5856496444731745,1.5863183757920596,0.0006687313188851185,True,True
2026-08-12 12:40:00+00:00,1.58422596,1.584,0.613,0.387,0.61295,0.61305,1.5836455238341298,1.5843132187621138,0.0006676949279840194,True,True
2026-08-12 12:45:00+00:00,1.56857121,1.5687,0.6107,0.3893,0.61065,0.61075,1.568383202773854,1.5690430314707773,0.0006598286969232703,True,True
