period,bot,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,positive_periods,periods_total,skip_counts
historical,CF191s,OLD_STRICT,5402,0.7117734172528694,0.0001912575886450288,1.0007140025166503,1.0331734938604455,59.969347500187965,0.017228359769250568,6,3,5,621|4232|0|0|0|18
historical,CF191s,NEW_v196_REGIME_GUARD,5404,0.7135455218356773,0.0028525907089058545,1.010585479588327,15.415400190927237,53.893159581550876,0.2860363042474941,6,4,5,635|4367|39|130|38|0
historical,CF191g,OLD_v191g_POSITIVE_SKEW,5297,0.39022087974325087,0.1322202021482657,1.2256575126182987,700.3704107793633,31.976920699121933,21.902371944106395,14,5,5,0|0|1031|5062|165|424|8
historical,CF191g,NEW_v195_EPISODE_GUARD,5250,0.39161904761904764,0.13395283104845324,1.2287322109923993,703.2523630043795,34.416092768682404,20.43382343635236,15,5,5,16549|0|1005|4963|172|449|7
forward_2026,CF191s,OLD_STRICT,550,0.7109090909090909,-0.0329981253866293,0.8823351991089308,-18.148968962646116,42.653293020237896,-0.42549983078762277,6,2,6,40|321|0|0|0|0
forward_2026,CF191s,NEW_v196_REGIME_GUARD,550,0.7072727272727273,-0.03283229799829753,0.8844513121098359,-18.05776389906364,37.718671645431286,-0.47874867038831437,5,3,6,40|340|0|8|23|0
forward_2026,CF191g,OLD_v191g_POSITIVE_SKEW,544,0.3694852941176471,0.06525338378964178,1.1054907878098506,35.49784078156513,27.632952848676066,1.2846198875653596,16,4,6,0|0|104|533|11|54|1
forward_2026,CF191g,NEW_v195_EPISODE_GUARD,539,0.3673469387755102,0.0640750252506141,1.1032874283693732,34.53643861008101,27.9629247077194,1.2350796267225557,11,3,6,2343|0|112|541|10|55|1
historical,CF200,OLD_V200_FROZEN_CORE,1642,0.4336175395858709,0.07454306369074261,1.150989525720721,122.39971058019937,19.82565683656125,6.173803551087265,13,5,5,
historical,CF200,NEW_v204_WINNER_PRESERVATION,1642,0.4336175395858709,0.07454306369074261,1.150989525720721,122.39971058019937,19.82565683656125,6.173803551087265,13,5,5,
forward_2026,CF200,OLD_V200_FROZEN_CORE,176,0.42045454545454547,0.09724566352430898,1.1980013144084698,17.11523678027838,8.343985928106411,2.051206333249716,9,4,6,
forward_2026,CF200,NEW_v204_WINNER_PRESERVATION,176,0.42045454545454547,0.09724566352430898,1.1980013144084698,17.11523678027838,8.343985928106411,2.051206333249716,9,4,6,
