source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,parent_bin,response_bin,parent_class,vf_class
0,2021-01-20 19:45:00+00:00,2021-01-20 21:45:00+00:00,2021-01-20 22:00:00+00:00,False,0.0,1,-0.0427773671946455,-0.0451542513250158,-0.0645209894290779,0.2228194029850745,0.4893552821997105,0.893530376525564,0.5028701492537319,0.0542942149812257,0.5253846153846164,0.9404081632653076,0.3254023435307476,2.0,0.1043328100470943,0.0,0.0,GE3,LOW,LARGE,VF1
4,2021-02-28 07:45:00+00:00,2021-02-28 08:00:00+00:00,,False,0.0,3,-0.0524900964182567,-0.1090301883557205,-0.206022100841441,0.0648706903925304,0.4830762480425457,0.7529994994785769,0.2779053177913185,0.0419215136293623,0.1245708759771109,0.3557525451956917,0.4376914264670378,0.25,0.2820157412630621,0.0,0.0,GE3,HIGH,LARGE,VF1
5,2021-02-28 19:45:00+00:00,2021-02-28 21:00:00+00:00,2021-02-28 21:15:00+00:00,False,0.0,3,-0.0410659112948978,-0.0787816147686371,-0.2168432836157229,0.1463201342281878,0.4968654905269558,0.8166979211083383,0.2787932885906038,0.0342675156940655,0.6664958006387748,0.9235440242892607,0.3255674189841013,1.25,0.3413574648738871,0.0,13.0,GE3,HIGH,LARGE,VF1
8,2021-03-23 07:45:00+00:00,2021-03-23 08:45:00+00:00,,False,0.0,5,-0.050713181148169,-0.0743499479985669,-0.02835764739391,0.1836248960374304,0.6001507111016768,1.2858836647074203,0.7616764165908134,0.0328651395995741,0.2934011977393529,0.6524308715632401,0.406214499327816,1.0,0.1178076650824133,0.0,0.0,GE3,LOW,LARGE,VF1
9,2021-03-25 03:45:00+00:00,2021-03-25 04:00:00+00:00,,False,0.0,5,-0.0366145297640045,-0.0913259747241128,-0.1109181606692008,0.0984951280247789,0.4961796858416473,1.283314857339257,0.6604889704135702,0.0268596159151665,0.1291428571428592,0.4449000000000004,0.4323304786315072,0.25,0.3469857142857135,0.0,43.25,2_3,HIGH,LARGE,VF1
10,2021-04-07 19:45:00+00:00,2021-04-07 20:45:00+00:00,2021-04-07 21:00:00+00:00,False,0.0,6,-0.0337019066911473,-0.0305922728970268,-0.0455523580375535,0.1643727522741692,0.5100039942398855,1.4504176601328516,0.6731542204357944,0.0245219248624715,0.2161437908496713,0.4944299201161959,0.3288254361784641,1.0,0.1926143790849696,0.0,0.0,2_3,MID,LARGE,VF1
11,2021-04-25 23:45:00+00:00,2021-04-26 00:00:00+00:00,,False,0.0,7,-0.0151866527106354,-0.062385563018212,-0.0986116623110336,0.2824142359823383,0.1669655210890427,1.0735643909342252,0.3840778498434907,0.0542766519988986,0.0999707117055569,0.8023378066822358,0.380958982313418,0.25,0.4680682492358742,0.0,0.0,GE3,HIGH,LARGE,VF1
15,2021-06-08 07:45:00+00:00,2021-06-08 08:00:00+00:00,2021-06-08 08:45:00+00:00,False,0.0,8,-0.0774455000232022,-0.1154909862831441,-0.0845379364503381,0.1465456276349793,0.1084932203389831,1.1068060563949418,0.6330028559771523,0.0340674074141481,0.1332128324533217,0.7512309788173697,0.4407324081185178,0.25,0.301080055917164,0.0,0.0,GE3,HIGH,LARGE,VF1
18,2021-07-15 15:45:00+00:00,2021-07-15 18:15:00+00:00,,False,0.0,10,-0.0453744222854178,-0.0530133570099647,-0.0425059462096724,0.0753251368663325,0.2093997748701873,1.050260560431876,0.578843750969558,0.0220339609072952,0.2915454818975045,0.3180795736206399,0.3867441953712883,2.5,0.2034328122985248,0.0,0.0,2_3,MID,LARGE,VF1
19,2021-07-15 19:45:00+00:00,2021-07-15 20:00:00+00:00,,False,0.0,10,-0.0352608207918736,-0.0356627763371406,-0.0403709009227331,0.1428543223247954,0.2418056771203892,1.034730362432553,0.578843750969558,0.0211520275819902,0.2172113943028501,0.6006296851574198,0.3796396668775148,0.25,0.185247376311846,0.0,1.75,2_3,MID,LARGE,VF1
