window,parent_class,response_bin,opps,fills,cum_R,mean_R,profit_factor,max_dd_R,positive_rate
HIST_PRE_RECENT,COMPACT,LOW,9,4,-3.4309927770716286,-0.8577481942679072,0.19406041550070288,4.257133962719039,0.25
HIST_PRE_RECENT,COMPACT,MID,6,2,0.10249170540795438,0.05124585270397719,1.085167289137923,1.2034163168206016,0.5
HIST_PRE_RECENT,COMPACT,HIGH,8,1,1.3325225514331007,1.3325225514331007,inf,0.0,1.0
HIST_PRE_RECENT,LARGE,LOW,28,9,-3.1685019724882584,-0.3520557747209176,0.5605806102481287,5.907934638632198,0.3333333333333333
HIST_PRE_RECENT,LARGE,MID,22,5,-3.0940554162291187,-0.6188110832458238,0.2970738593322689,3.0940554162291187,0.2
HIST_PRE_RECENT,LARGE,HIGH,16,2,0.42176448659270727,0.21088224329635363,1.3995045185863604,1.055718939262848,0.5
2025_H2,COMPACT,LOW,2,2,2.0758518430365633,1.0379259215182817,inf,0.0,1.0
2025_H2,COMPACT,MID,6,4,-0.017857422550993984,-0.004464355637748496,0.9931530001825419,1.3863099634369287,0.5
2025_H2,COMPACT,HIGH,3,0,0.0,,,0.0,
2025_H2,LARGE,LOW,1,1,1.1033834132074123,1.1033834132074123,inf,0.0,1.0
2025_H2,LARGE,MID,1,1,1.3768201840681402,1.3768201840681402,inf,0.0,1.0
2025_H2,LARGE,HIGH,0,0,0.0,,,0.0,
2026_JAN_JUL,COMPACT,LOW,2,1,1.0760086206896466,1.0760086206896466,inf,0.0,1.0
2026_JAN_JUL,COMPACT,MID,2,2,2.387299310807741,1.1936496554038705,inf,0.0,1.0
2026_JAN_JUL,COMPACT,HIGH,4,1,1.4025252194705795,1.4025252194705795,inf,0.0,1.0
2026_JAN_JUL,LARGE,LOW,2,1,-1.170796277086218,-1.170796277086218,0.0,1.170796277086218,0.0
2026_JAN_JUL,LARGE,MID,5,0,0.0,,,0.0,
2026_JAN_JUL,LARGE,HIGH,2,1,1.4323206995849918,1.4323206995849918,inf,0.0,1.0
POOLED_RECENT,COMPACT,LOW,4,3,3.15186046372621,1.0506201545754033,inf,0.0,1.0
POOLED_RECENT,COMPACT,MID,8,6,2.369441888256747,0.3949069813761245,1.9085055880848854,1.3863099634369287,0.6666666666666666
POOLED_RECENT,COMPACT,HIGH,7,1,1.4025252194705795,1.4025252194705795,inf,0.0,1.0
POOLED_RECENT,LARGE,LOW,3,2,-0.06741286387880563,-0.033706431939402814,0.9424213544250608,1.170796277086218,0.5
POOLED_RECENT,LARGE,MID,6,1,1.3768201840681402,1.3768201840681402,inf,0.0,1.0
POOLED_RECENT,LARGE,HIGH,2,1,1.4323206995849918,1.4323206995849918,inf,0.0,1.0
AUG2026_REUSED_AUDIT,COMPACT,LOW,2,1,-1.6967328646749174,-1.6967328646749174,0.0,1.6967328646749174,0.0
AUG2026_REUSED_AUDIT,COMPACT,MID,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,COMPACT,HIGH,2,1,-1.225276633599309,-1.225276633599309,0.0,1.225276633599309,0.0
AUG2026_REUSED_AUDIT,LARGE,LOW,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,LARGE,MID,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,LARGE,HIGH,0,0,0.0,,,0.0,
