window,parent_class,opps,fills,cum_R,mean_R,profit_factor,max_dd_R,positive_rate
HIST_PRE_RECENT,COMPACT,23,7,-1.9959785202305738,-0.28513978860436767,0.6344730076546704,4.154642257311085,0.42857142857142855
HIST_PRE_RECENT,LARGE,66,16,-5.8407929021246705,-0.3650495563827919,0.5389352697536142,10.057708994124166,0.3125
HIST_PRE_RECENT,ALL,89,23,-7.8367714223552465,-0.34072919227631504,0.5677123677166601,12.879828700002149,0.34782608695652173
2025_H1,COMPACT,2,1,0.8261411856474106,0.8261411856474106,inf,0.0,1.0
2025_H1,LARGE,12,6,-1.8582369518393431,-0.30970615863989054,0.5926659528480595,3.3881067952301542,0.3333333333333333
2025_H1,ALL,14,7,-1.0320957661919326,-0.1474422523131332,0.7737598829496908,3.3881067952301542,0.42857142857142855
2025_H2,COMPACT,11,6,2.05799442048557,0.3429990700809283,1.7890885362182214,1.3863099634369287,0.6666666666666666
2025_H2,LARGE,2,2,2.4802035972755525,1.2401017986377763,inf,0.0,1.0
2025_H2,ALL,13,8,4.538198017761122,0.5672747522201402,2.7400630415988383,1.3863099634369287,0.75
2026_JAN_JUL,COMPACT,8,4,4.865833150967967,1.2164582877419918,inf,0.0,1.0
2026_JAN_JUL,LARGE,9,2,0.26152442249877383,0.13076221124938692,1.2233731244428232,1.170796277086218,0.5
2026_JAN_JUL,ALL,17,6,5.127357573466741,0.8545595955777902,5.379376390081535,1.1707962770862181,0.8333333333333334
POOLED_RECENT,COMPACT,19,10,6.923827571453538,0.6923827571453538,3.65477540123581,1.3863099634369287,0.8
POOLED_RECENT,LARGE,11,4,2.7417280197743263,0.6854320049435816,3.3417635274667212,1.1707962770862181,0.75
POOLED_RECENT,ALL,30,14,9.665555591227863,0.6903968279448474,3.5577956283125083,1.3863099634369287,0.7857142857142857
ALL_PRE_AUG,COMPACT,42,17,4.927849051222962,0.2898734736013507,1.6107428232217973,4.714811035100603,0.6470588235294118
ALL_PRE_AUG,LARGE,77,20,-3.099064882350344,-0.1549532441175172,0.7760605238590994,10.057708994124166,0.4
ALL_PRE_AUG,ALL,119,37,1.828784168872619,0.04942659915871943,1.0834776683667098,12.879828700002149,0.5135135135135135
AUG2026_REUSED_AUDIT,COMPACT,4,2,-2.9220094982742264,-1.4610047491371132,0.0,2.9220094982742264,0.0
AUG2026_REUSED_AUDIT,LARGE,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,ALL,4,2,-2.9220094982742264,-1.4610047491371132,0.0,2.9220094982742264,0.0
