window,parent_bin,opps,fills,cum_R,mean_R,profit_factor,max_dd_R,positive_rate
HIST_PRE_RECENT,LT1,5,2,-0.045483107876461926,-0.022741553938230963,0.9669935260648705,1.3780056593095626,0.5
HIST_PRE_RECENT,1_1P5,18,5,-1.9504954123541118,-0.39009908247082237,0.5222353718587922,2.7766365980015224,0.4
HIST_PRE_RECENT,1P5_2,22,5,-0.9346300832713235,-0.1869260166542647,0.7363507334467647,1.194102184734514,0.4
HIST_PRE_RECENT,2_3,25,4,-2.1654933146818762,-0.5413733286704691,0.38284607255258524,3.508838262827695,0.25
HIST_PRE_RECENT,GE3,19,7,-2.740669504171471,-0.3915242148816387,0.5118361188996196,5.614240648025147,0.2857142857142857
2025_H1,LT1,0,0,0.0,,,0.0,
2025_H1,1_1P5,2,1,0.8261411856474106,0.8261411856474106,inf,0.0,1.0
2025_H1,1P5_2,4,2,0.11359983347034541,0.056799916735172706,1.095140325723683,1.1940240124915544,0.5
2025_H1,2_3,4,1,-1.1155399899458072,-1.1155399899458072,0.0,1.1155399899458072,0.0
2025_H1,GE3,4,3,-0.8562967953638814,-0.28543226512129377,0.6198265481386491,2.252384513362002,0.3333333333333333
2025_H2,LT1,6,3,0.9768042789383378,0.3256014263127793,1.7046074144318002,1.3863099634369287,0.6666666666666666
2025_H2,1_1P5,5,3,1.0811901415472318,0.3603967138490773,1.8849481723485357,1.2217553245834678,0.6666666666666666
2025_H2,1P5_2,2,2,2.4802035972755525,1.2401017986377763,inf,0.0,1.0
2025_H2,2_3,0,0,0.0,,,0.0,
2025_H2,GE3,0,0,0.0,,,0.0,
2026_JAN_JUL,LT1,3,1,1.078227075098828,1.078227075098828,inf,0.0,1.0
2026_JAN_JUL,1_1P5,5,3,3.787606075869139,1.2625353586230463,inf,0.0,1.0
2026_JAN_JUL,1P5_2,4,0,0.0,,,0.0,
2026_JAN_JUL,2_3,4,2,0.26152442249877383,0.13076221124938692,1.2233731244428232,1.170796277086218,0.5
2026_JAN_JUL,GE3,1,0,0.0,,,0.0,
POOLED_RECENT,LT1,9,4,2.055031354037166,0.5137578385092915,2.482375087994281,1.3863099634369287,0.75
POOLED_RECENT,1_1P5,10,6,4.868796217416371,0.8114660362360618,4.9850828717086095,1.2217553245834678,0.8333333333333334
POOLED_RECENT,1P5_2,6,2,2.4802035972755525,1.2401017986377763,inf,0.0,1.0
POOLED_RECENT,2_3,4,2,0.26152442249877383,0.13076221124938692,1.2233731244428232,1.170796277086218,0.5
POOLED_RECENT,GE3,1,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,LT1,2,1,-1.225276633599309,-1.225276633599309,0.0,1.225276633599309,0.0
AUG2026_REUSED_AUDIT,1_1P5,2,1,-1.6967328646749174,-1.6967328646749174,0.0,1.6967328646749174,0.0
AUG2026_REUSED_AUDIT,1P5_2,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,2_3,0,0,0.0,,,0.0,
AUG2026_REUSED_AUDIT,GE3,0,0,0.0,,,0.0,
