scope,original_n,traded_n,persistent_exit_n,ev_5bps,pf_5bps,cum_r_5bps,max_dd_r_5bps,max_dd_pct_025,ev_per_original_5bps,ev_0bps,ev_10bps,tp_n,sl_n,time_n
FULL_PREAUG,475,327,59,0.10143810372376039,1.228426136288747,33.17025991766965,9.794465415596534,2.4486163538991335,0.06983212614246241,0.16334225591793253,0.03953395152958822,115,95,58
2021,82,62,7,0.27321304111649675,1.6964165597414866,16.939208549222798,4.475545544054356,1.118886386013589,0.20657571401491218,0.3124374276119149,0.2339886546210787,26,16,13
2022,79,49,12,0.023370493180798604,1.0490717617666518,1.1451541658591315,9.228603308708117,2.307150827177029,0.014495622352647234,0.07526515476425129,-0.028524168402654225,16,15,6
2023,83,52,8,-0.023302364372026988,0.9518419441626067,-1.2117229473454034,4.706966042384679,1.1767415105961698,-0.014599071654763896,0.05939415670177836,-0.10599888544583239,16,17,11
2024,94,64,16,0.08498095521554036,1.1929960733900995,5.438781133794583,6.439452232456001,1.6098630581140003,0.05785937376377216,0.1399059350081506,0.03005597542293007,22,16,10
2025_H1,46,32,4,-0.054062418045191095,0.891193314601978,-1.729997377446115,7.75682373188671,1.9392059329716775,-0.03760863864013293,0.018168133944820364,-0.1262929700352025,9,12,7
2025_H2,44,33,4,0.20096146480335517,1.5190095822924141,6.631728338510721,3.1190448475881443,0.7797612118970361,0.15072109860251637,0.2848720794628727,0.11705085014383762,13,8,8
2026_JAN_JUL,47,35,8,0.17020308728782674,1.3835147112111645,5.9571080550739355,4.844609570599524,1.211152392649881,0.12674697989519013,0.2379762769215356,0.10242989765411778,13,11,3
POOLED_RECENT,91,68,12,0.1851299469644802,1.4446687635874047,12.588836393584653,4.844609570599523,1.2111523926498808,0.13833886146796323,0.26073453403718455,0.10952535989177596,26,19,11
AUG2026,1,0,0,,,0.0,,,0.0,,,0,0,0
