flow_id,signal_time_r,touch_time_r,class_time_r,side_r,state_r,activation_state,high_volume,atr14_r,residual_atr,fut_netdelta_norm_15,fut_disp_atr_15,fut_response_eff_15,fut_absorption_gap_15,fut_netdelta_norm_30,fut_disp_atr_30,fut_response_eff_30,fut_absorption_gap_30,fut_netdelta_norm_60,fut_disp_atr_60,fut_response_eff_60,fut_absorption_gap_60,spot_netdelta_norm_15,spot_disp_atr_15,spot_response_eff_15,spot_absorption_gap_15,spot_netdelta_norm_30,spot_disp_atr_30,spot_response_eff_30,spot_absorption_gap_30,spot_netdelta_norm_60,spot_disp_atr_60,spot_response_eff_60,spot_absorption_gap_60,fut_minus_spot_netdelta_60,fut_minus_spot_absorption_gap_60,mechanism_cell,pressure_mag_60,response_60,fut_elasticity_60,prior_n,pressure_med90,response_med90,book_state,signal_time_a,side_a,state_a,touch_time_a,class_time_a,atr14_a,level,class_price,signal_close,signal_time,touch_time,class_time,side,state,period,atr14
79,2021-02-10 08:00:00+00:00,2021-02-10 12:30:00+00:00,2021-02-10 12:30:00+00:00,-1,ACCEPT,IGNITION,True,316.06785714285746,0.214479259652654,1.2767666759507204,0.2214081515045236,0.1734131659879486,1.0553585244461967,4.862717632771213,1.3969468581565845,0.2872769845286037,3.465770774614629,3.8739517429232,1.1714573046023171,0.302393365312899,2.7024944383208838,3.0610708873056667,0.3130656843580058,0.1022732553030041,2.748005202947661,3.84066759959707,1.4235867071944208,0.3706612640322665,2.417080892402649,1.939598449912017,1.090841704426034,0.5624059477236208,0.8487567454859832,1.934353293011183,1.8537376928349,ABSORPTION,3.8739517429232,1.1714573046023171,0.302393365312899,43,1.3415933151195265,0.947736479594984,DRIVEN_MOVE,2021-02-10 08:00:00+00:00,-1,ACCEPT,2021-02-10 12:30:00+00:00,2021-02-10 12:30:00+00:00,316.06785714285746,45690.0,45174.22,46667.01,2021-02-10 08:00:00+00:00,2021-02-10 12:30:00+00:00,2021-02-10 12:30:00+00:00,-1,ACCEPT,2021,316.06785714285746
83,2021-02-12 09:00:00+00:00,2021-02-12 14:30:00+00:00,2021-02-12 15:15:00+00:00,-1,REJECT,LOWVOL_REJECT,False,374.553571428572,-1.840991656734193,7.761545768015608,0.8937306317044086,0.1151485359253261,6.8678151363112,5.112269223402024,1.2435871275327774,0.2432554063937221,3.868682095869247,3.5316517651555914,1.1507566150178876,0.3258409071844572,2.380895150137704,9.032219604831512,0.930494398092958,0.1030194613066336,8.101725206738555,7.3007021745835345,1.306008104886763,0.1788880129138077,5.994694069696771,3.900384786612325,1.1781225268176296,0.3020528976683059,2.722262259794695,-0.368733021456733,-0.341367109656991,ABSORPTION,3.5316517651555914,1.1507566150178876,0.32584090718445724,45,1.3672694807227903,0.968733045312982,DRIVEN_MOVE,2021-02-12 09:00:00+00:00,-1,REJECT,2021-02-12 14:30:00+00:00,2021-02-12 15:15:00+00:00,374.553571428572,46566.84,47034.94,47264.45,2021-02-12 09:00:00+00:00,2021-02-12 14:30:00+00:00,2021-02-12 15:15:00+00:00,-1,REJECT,2021,374.553571428572
85,2021-02-13 09:00:00+00:00,2021-02-13 11:00:00+00:00,2021-02-13 11:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,301.56785714285746,-0.9829960089532156,4.224706015539329,1.125219389144831,0.2663426484602821,3.0994866263944982,3.519951876560444,1.434900934402352,0.4076478840399601,2.085050942158092,4.322927286956077,1.6766707327182833,0.3878554094068247,2.6462565542377936,4.870080650217068,0.9758002818602904,0.2003663495422395,3.894280368356778,3.21809293503426,1.3315411125191048,0.4137671407879739,1.8865518225151556,1.5741467692144566,1.6459313824180772,1.0456022364670885,-0.0717846132036206,2.74878051774162,2.718041167441414,ABSORPTION,4.322927286956077,1.6766707327182833,0.3878554094068247,46,1.3976946514997537,1.0597448301654349,DRIVEN_MOVE,2021-02-13 09:00:00+00:00,-1,ACCEPT,2021-02-13 11:00:00+00:00,2021-02-13 11:00:00+00:00,301.56785714285746,46660.01,46650.57,47482.64,2021-02-13 09:00:00+00:00,2021-02-13 11:00:00+00:00,2021-02-13 11:00:00+00:00,-1,ACCEPT,2021,301.56785714285746
88,2021-02-14 23:15:00+00:00,2021-02-15 01:15:00+00:00,2021-02-15 01:30:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,225.45500000000013,0.235257590206475,4.108303404060042,1.4591825419706623,0.3551788654481121,2.64912086208938,3.1321232456681085,1.952141225521701,0.6232644990013133,1.1799820201464075,1.6157970858084691,1.3006143132775754,0.8049366623450797,0.3151827725308938,4.512044057312821,1.5502428422523424,0.3435788353484297,2.961801215060478,3.034652155188992,2.031935419485043,0.6695777030031629,1.0027167357039488,1.5424824857488482,1.4116786054866677,0.9151991147577422,0.1308038802621807,0.0733146000596209,0.184378892268713,WEAK,1.6157970858084691,1.3006143132775754,0.8049366623450797,48,1.3976946514997537,1.0597448301654349,DRIVEN_MOVE,2021-02-14 23:15:00+00:00,-1,ACCEPT,2021-02-15 01:15:00+00:00,2021-02-15 01:30:00+00:00,225.45500000000015,48200.0,48065.21,49036.57,2021-02-14 23:15:00+00:00,2021-02-15 01:15:00+00:00,2021-02-15 01:30:00+00:00,-1,ACCEPT,2021,225.45500000000015
94,2021-02-18 07:30:00+00:00,2021-02-18 07:30:00+00:00,2021-02-18 08:15:00+00:00,-1,REJECT,LOWVOL_REJECT,False,226.65285714285605,-0.7063665643495056,11.122670875109796,2.141998146945929,0.1925794776270213,8.980672728163869,8.519345580214665,2.26743225952842,0.2661509899063499,6.251913320686246,6.160698784981838,2.5269039500305954,0.4101651514257639,3.6337948349512414,8.433608899745273,2.0800531965183047,0.2466385649660764,6.353555703226968,3.6419451303741446,2.1932218559534453,0.6022116691604662,1.4487232744206993,3.3099048124758155,2.56537688220504,0.7750606218449324,0.7445279302707757,2.8507939725060223,2.8892669046804667,EFFICIENT_IGNITION,6.160698784981838,2.5269039500305954,0.41016515142576393,52,1.3976946514997537,1.1575245701258083,DRIVEN_MOVE,2021-02-18 07:30:00+00:00,-1,REJECT,2021-02-18 07:30:00+00:00,2021-02-18 08:15:00+00:00,226.65285714285605,51385.35,51927.29,51579.01,2021-02-18 07:30:00+00:00,2021-02-18 07:30:00+00:00,2021-02-18 08:15:00+00:00,-1,REJECT,2021,226.65285714285605
98,2021-02-20 13:15:00+00:00,2021-02-20 22:30:00+00:00,2021-02-20 22:30:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,379.8928571428577,-2.803790542446173,4.164731664765605,0.3343574316066471,0.0802830670785761,3.830374233158958,4.377187039515696,1.339588229764014,0.3060386082821423,3.0375988097516817,2.529640635885083,1.5121632039108728,0.5977778750307708,1.01747743197421,2.550849767361614,0.3463344928081213,0.1357722031455975,2.2045152745534926,1.7415168967693695,1.2427977813293136,0.7136294707417348,0.4987191154400561,1.708235610598491,1.4714411958258833,0.8613807057390371,0.2367944147726077,0.8214050252865919,0.7806830172016024,WEAK,2.529640635885083,1.5121632039108728,0.5977778750307708,55,1.428119822276717,1.164292525233729,DRIVEN_MOVE,2021-02-20 13:15:00+00:00,-1,ACCEPT,2021-02-20 22:30:00+00:00,2021-02-20 22:30:00+00:00,379.8928571428577,55113.27,54922.38,57425.59,2021-02-20 13:15:00+00:00,2021-02-20 22:30:00+00:00,2021-02-20 22:30:00+00:00,-1,ACCEPT,2021,379.8928571428577
101,2021-02-22 01:15:00+00:00,2021-02-22 03:30:00+00:00,2021-02-22 03:45:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,400.0364285714287,7.043908501190067,4.6632274921009245,0.786553367461181,0.1686714552943277,3.876674124639744,3.683905985606584,0.905117569649911,0.2456950783180413,2.7787884159566727,2.426938558945333,1.352751802960805,0.55739021409288,1.074186755984528,0.4349543360234112,0.8202253009101019,1.8857733628064204,-0.3852709648866907,-0.4673419387123131,0.9580127524100612,2.049918214166085,-1.4253546911223742,0.5873277494247552,1.3890234996455764,2.3649887154251164,-0.8016957502208212,1.8396108095205777,1.875882506205349,WEAK,2.426938558945333,1.352751802960805,0.55739021409288,57,1.4566311915451526,1.1714573046023171,DRIVEN_MOVE,2021-02-22 01:15:00+00:00,-1,ACCEPT,2021-02-22 03:30:00+00:00,2021-02-22 03:45:00+00:00,400.0364285714287,56125.53,55954.31,56772.81,2021-02-22 01:15:00+00:00,2021-02-22 03:30:00+00:00,2021-02-22 03:45:00+00:00,-1,ACCEPT,2021,400.0364285714287
128,2021-03-08 04:15:00+00:00,2021-03-08 07:15:00+00:00,2021-03-08 07:45:00+00:00,-1,ACCEPT,IGNITION,True,372.0014285714289,-3.221036017526801,6.732848405330484,0.8465827704194685,0.1257391700293174,5.886265634911015,5.392625269339222,1.0908291442813214,0.2022816512920774,4.3017961250579,5.951225206264862,1.8795089112561003,0.3158188181616012,4.071716295008762,4.91874427696508,0.8730342817423998,0.1774912930177927,4.04570999522268,2.74891797626293,1.1298343708357563,0.4110105796505909,1.6190836054271738,2.102547022967381,1.9602612893191669,0.9323269672002854,0.1422857336482139,3.848678183297481,3.929430561360548,EFFICIENT_IGNITION,5.951225206264862,1.8795089112561003,0.31581881816160123,71,1.3575550658483548,1.1714573046023171,DRIVEN_MOVE,2021-03-08 04:15:00+00:00,-1,ACCEPT,2021-03-08 07:15:00+00:00,2021-03-08 07:45:00+00:00,372.0014285714289,49800.0,49783.97,50458.19,2021-03-08 04:15:00+00:00,2021-03-08 07:15:00+00:00,2021-03-08 07:45:00+00:00,-1,ACCEPT,2021,372.0014285714289
131,2021-03-09 16:30:00+00:00,2021-03-10 02:00:00+00:00,2021-03-10 02:45:00+00:00,-1,REJECT,ABSORPTION,True,338.0414285714272,1.030021679506728,-0.7350371923825618,0.4400052402706518,0.5986162942917371,-1.1750424326532136,4.800351506214029,2.119444362271769,0.4415185761976305,2.68090714394226,3.533888098800251,2.4750220809791057,0.700367983304104,1.058866017821145,1.1662771382668131,0.3958686382480599,0.3394293048017337,0.7704085000187535,4.121550129879262,2.111782579480954,0.512375808357041,2.009767550398308,2.256749315332521,2.464579573932191,1.092092753584838,-0.2078302585996696,1.2771387834677292,1.2666962764208147,EFFICIENT_IGNITION,3.533888098800251,2.4750220809791057,0.700367983304104,74,1.3495741904839407,1.167874914918023,DRIVEN_MOVE,2021-03-09 16:30:00+00:00,-1,REJECT,2021-03-10 02:00:00+00:00,2021-03-10 02:45:00+00:00,338.0414285714272,53322.85,54014.99,54295.6,2021-03-09 16:30:00+00:00,2021-03-10 02:00:00+00:00,2021-03-10 02:45:00+00:00,-1,REJECT,2021,338.0414285714272
139,2021-03-14 10:45:00+00:00,2021-03-14 10:45:00+00:00,2021-03-14 11:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,277.83214285714195,-0.3628089930970769,6.954067025819949,0.9589963107220296,0.1379043813010926,5.99507071509792,5.428420127246656,1.4893885053925051,0.2743686874781257,3.939031621854151,4.223247650434106,2.305060866658956,0.5458029122260967,1.918186783775151,-2.3982103447081173,0.8768243929402438,0.3656161332449597,-3.2750347376483613,-1.4426688372472136,1.4396102477086716,0.9978799087776942,-2.882279084955885,-1.158202706396346,2.405481212962613,2.0769086444695617,-3.563683919358959,5.381450356830452,5.48187070313411,EFFICIENT_IGNITION,4.223247650434106,2.305060866658956,0.5458029122260968,77,1.3575550658483548,1.164292525233729,DRIVEN_MOVE,2021-03-14 10:45:00+00:00,-1,ACCEPT,2021-03-14 10:45:00+00:00,2021-03-14 11:00:00+00:00,277.83214285714195,60300.0,60173.52,60413.43,2021-03-14 10:45:00+00:00,2021-03-14 10:45:00+00:00,2021-03-14 11:00:00+00:00,-1,ACCEPT,2021,277.83214285714195
