clock,split,model,n_total,n_top,top_hit,top_mean_rev,top_ci_lo,top_ci_hi,threshold,q80
D15,DEV_2021_2024,CORE,1155,231,0.3463203463203463,0.006103860012150299,0.00023222748775456905,0.01225014177272022,0.01978413047920935,0.30389664307692194
D15,BRIDGE_2025,CORE,301,71,0.23943661971830985,0.006108433973417335,-0.0007774125726817438,0.012756874909557908,0.01978413047920935,0.30389664307692194
D15,OOS_2026,CORE,174,48,0.22916666666666666,0.0014653190646014096,-0.009110373623357947,0.013788577371131306,0.01978413047920935,0.30389664307692194
D15,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,231,0.35064935064935066,0.006859428658185028,0.00043248375224563097,0.013322375857809796,0.01978413047920935,0.3058962313611673
D15,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,79,0.25316455696202533,0.0049805722542216446,-0.0012886592418769524,0.01168187510723882,0.01978413047920935,0.3058962313611673
D15,OOS_2026,CORE_PLUS__RANGE_STATE,174,54,0.24074074074074073,-0.004833178065590669,-0.016521092699192417,0.007418414103069671,0.01978413047920935,0.3058962313611673
D15,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,231,0.3593073593073593,0.0061319579141192225,-8.182380864744518e-05,0.012162403155808044,0.01978413047920935,0.3055096446776782
D15,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,69,0.2463768115942029,0.005366913269757052,-0.0013739030085275356,0.012459921614616794,0.01978413047920935,0.3055096446776782
D15,OOS_2026,CORE_PLUS__EXHAUSTION,174,50,0.24,0.002406277060236812,-0.007895862645230846,0.013712821230314762,0.01978413047920935,0.3055096446776782
D15,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,231,0.354978354978355,0.006826771724034936,0.0007970182072144888,0.013269197171921604,0.01978413047920935,0.30696277377638287
D15,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,54,0.24074074074074073,0.007587906982567268,-9.741984803289468e-05,0.0162317601893483,0.01978413047920935,0.30696277377638287
D15,OOS_2026,CORE_PLUS__ACCEPTANCE,174,38,0.34210526315789475,0.004127188295908439,-0.009122755313909126,0.017924831259003852,0.01978413047920935,0.30696277377638287
D15,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,231,0.3593073593073593,0.006056776835668583,-0.00012550883708513217,0.01255662006326547,0.01978413047920935,0.3042331050794341
D15,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,70,0.24285714285714285,0.006481606444812641,-0.00020297353905627554,0.013351318063242464,0.01978413047920935,0.3042331050794341
D15,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,48,0.2708333333333333,0.0044522349480777155,-0.006978901590177741,0.01589463617591613,0.01978413047920935,0.3042331050794341
D15,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,231,0.3463203463203463,0.00592928836734317,-0.00021672573336237674,0.01247196845864344,0.01978413047920935,0.3055539632462144
D15,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,68,0.20588235294117646,0.002347452431806925,-0.003978612664533004,0.009316067624737892,0.01978413047920935,0.3055539632462144
D15,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,45,0.2222222222222222,-0.0009857779361927541,-0.013672784415441655,0.011894584000029212,0.01978413047920935,0.3055539632462144
D15,DEV_2021_2024,FULL_POST,1155,231,0.4069264069264069,0.00964940712430939,0.003043585122551327,0.015946982925796514,0.01978413047920935,0.3230157078443151
