transition_time,old,new,runner_up_prior_bar,match
2020-01-07 04:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-01-09 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-01-10 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-01-11 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-01-14 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-01-16 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-01-17 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-01-17 20:00:00+00:00,EXPANSION,REVERSAL,REVERSAL,True
2020-01-18 08:00:00+00:00,REVERSAL,RANGE,PULLBACK,False
2020-01-19 12:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2020-01-23 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-01-28 20:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-01-31 08:00:00+00:00,EXPANSION,PULLBACK,REVERSAL,False
2020-02-05 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-02-05 20:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-02-08 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-02-09 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-02-10 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-02-11 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-02-13 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-02-17 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-02-18 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-02-26 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-02-29 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-03-05 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-03-08 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-03-08 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-03-16 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-03-23 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-03-25 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-03-28 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-03-29 20:00:00+00:00,RANGE,EXPANSION,PULLBACK,False
2020-03-30 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-04-01 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-04-02 20:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-04-03 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-04-06 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-04-08 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-04-10 16:00:00+00:00,PULLBACK,RANGE,EXPANSION,False
2020-04-12 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-04-15 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-04-16 08:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-04-16 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-04-18 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-04-21 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-04-23 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-04-23 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-04-26 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-04-29 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-05-03 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-05-07 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-05-09 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-05-10 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-05-12 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-05-14 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-05-15 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-05-21 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-05-22 00:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-05-22 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-05-24 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-05-27 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-05-28 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-05-29 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-02 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-06-02 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-11 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-06-12 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-15 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-06-15 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-22 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-06-23 00:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-06-24 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-25 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-06-25 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-06-28 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-06-28 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
