flow_id,signal_time,period,entry_time,fp_time,fp_minutes,exit_time,exit_reason,entry_price,exit_price,level,risk_dist,parent_net_r_5bps,covered,sequence_state,state_time,state_price,state_minutes_after_fp,residual_r,severe_adverse_1r,severe_time
79,2021-02-10 08:00:00+00:00,2021,2021-02-10 12:30:00+00:00,2021-02-10 12:45:00+00:00,15.0,2021-02-10 13:00:00+00:00,SL,45174.22,45964.389642857146,45690.0,790.1696428571437,-1.0285851401710768,True,UNRESOLVED,,,,,True,2021-02-10 13:00:00+00:00
85,2021-02-13 09:00:00+00:00,2021,2021-02-13 11:00:00+00:00,2021-02-13 11:30:00+00:00,30.0,2021-02-13 16:15:00+00:00,SL,46650.57,47404.489642857145,46660.01,753.9196428571437,-1.0309386885207088,True,PERSISTENT_FAILURE_FIRST,2021-02-13 12:15:00+00:00,47244.07,45.0,-0.21278082402681478,False,
98,2021-02-20 13:15:00+00:00,2021,2021-02-20 22:30:00+00:00,2021-02-20 22:45:00+00:00,15.0,2021-02-20 23:00:00+00:00,SL,54922.38,55872.11214285714,55113.27,949.7321428571444,-1.028914668421548,True,UNRESOLVED,,,,,True,2021-02-20 23:00:00+00:00
155,2021-03-22 19:45:00+00:00,2021,2021-03-22 19:45:00+00:00,2021-03-22 20:15:00+00:00,30.0,2021-03-22 20:45:00+00:00,TP,55563.91,54072.82428571429,55643.49,994.0571428571432,1.4720519537537349,True,RECOVERED_FIRST,2021-03-22 20:30:00+00:00,54965.68,15.0,0.8981935502414301,False,
188,2021-04-10 15:45:00+00:00,2021,2021-04-10 20:45:00+00:00,2021-04-10 21:00:00+00:00,15.0,2021-04-10 22:00:00+00:00,SL,58709.41,59321.52250000001,59078.33,612.1125000000003,-1.047956388735735,True,PERSISTENT_FAILURE_FIRST,2021-04-10 21:30:00+00:00,59202.97,30.0,-0.19367763278809888,False,
210,2021-04-22 14:45:00+00:00,2021,2021-04-22 19:00:00+00:00,2021-04-22 19:30:00+00:00,30.0,2021-04-22 21:00:00+00:00,TP,52692.25,51194.66875,53080.29,998.3875000000014,1.4736113232587558,True,RECOVERED_FIRST,2021-04-22 20:15:00+00:00,52258.75,45.0,1.0657998522617735,False,
220,2021-04-28 18:00:00+00:00,2021,2021-04-29 04:30:00+00:00,2021-04-29 06:00:00+00:00,90.0,2021-04-29 06:00:00+00:00,SL,53711.75,54300.86964285714,53852.0,589.1196428571415,-1.04558645315195,True,UNRESOLVED,,,,,False,
229,2021-05-03 23:30:00+00:00,2021,2021-05-04 00:45:00+00:00,2021-05-04 01:45:00+00:00,60.0,2021-05-04 05:00:00+00:00,SL,55318.69,56246.25964285714,56500.65,927.5696428571428,-1.029819157206136,True,UNRESOLVED,,,,,True,2021-05-04 05:00:00+00:00
272,2021-05-27 00:00:00+00:00,2021,2021-05-27 01:45:00+00:00,2021-05-27 02:15:00+00:00,30.0,2021-05-27 06:45:00+00:00,SL,37627.69,38280.97214285714,37900.0,653.2821428571411,-1.028798958008735,True,RECOVERED_FIRST,2021-05-27 03:00:00+00:00,37287.19,45.0,-1.5212143079723817,False,
306,2021-06-16 22:45:00+00:00,2021,2021-06-16 23:15:00+00:00,2021-06-17 00:00:00+00:00,45.0,2021-06-17 01:15:00+00:00,SL,38212.43,38760.96035714285,38270.0,548.5303571428552,-1.0348316455984603,True,PERSISTENT_FAILURE_FIRST,2021-06-17 00:30:00+00:00,38614.51,30.0,-0.26698678612004323,False,
375,2021-08-01 07:30:00+00:00,2021,2021-08-01 16:15:00+00:00,2021-08-01 16:45:00+00:00,30.0,2021-08-01 16:45:00+00:00,SL,40882.99,41364.98107142857,41091.77,481.9910714285716,-1.0424105262767926,True,UNRESOLVED,,,,,False,
376,2021-08-01 23:00:00+00:00,2021,2021-08-01 23:15:00+00:00,2021-08-01 23:45:00+00:00,30.0,2021-08-02 11:00:00+00:00,TIME,39708.86,39500.46,39957.23,749.8732142857132,0.2514365980915844,True,RECOVERED_FIRST,2021-08-02 00:30:00+00:00,39645.03,45.0,0.1927925911285002,False,
401,2021-08-19 03:30:00+00:00,2021,2021-08-19 03:45:00+00:00,2021-08-19 05:15:00+00:00,90.0,2021-08-19 07:45:00+00:00,SL,44058.62,44642.31464285715,44125.0,583.6946428571446,-1.037741155019292,True,PERSISTENT_FAILURE_FIRST,2021-08-19 05:45:00+00:00,44404.65,30.0,-0.40717290412979584,False,
406,2021-08-22 13:30:00+00:00,2021,2021-08-22 14:45:00+00:00,2021-08-22 15:30:00+00:00,45.0,2021-08-22 16:30:00+00:00,SL,48290.01,48754.05642857143,48616.41,464.046428571428,-1.0520314423587502,True,UNRESOLVED,,,,,True,2021-08-22 16:30:00+00:00
408,2021-08-23 15:00:00+00:00,2021,2021-08-23 15:30:00+00:00,2021-08-23 17:00:00+00:00,90.0,2021-08-24 01:00:00+00:00,TP,49607.01,48913.67785714286,49730.0,462.2214285714277,1.4463384787748643,True,RECOVERED_FIRST,2021-08-23 17:15:00+00:00,49580.01,15.0,1.4415864381635313,False,
410,2021-08-24 21:30:00+00:00,2021,2021-08-24 23:45:00+00:00,2021-08-25 00:00:00+00:00,15.0,2021-08-25 02:00:00+00:00,SL,47719.36,48287.26357142857,47750.05,567.9035714285692,-1.0420136114657326,True,PERSISTENT_FAILURE_FIRST,2021-08-25 00:30:00+00:00,48000.0,30.0,-0.5058315986743245,False,
429,2021-09-04 11:30:00+00:00,2021,2021-09-04 17:15:00+00:00,2021-09-04 17:45:00+00:00,30.0,2021-09-04 20:00:00+00:00,SL,49603.24,50094.63642857142,49615.0,491.3964285714272,-1.0504717139929158,True,PERSISTENT_FAILURE_FIRST,2021-09-04 18:15:00+00:00,49929.94,30.0,-0.3351600031978676,False,
433,2021-09-07 08:45:00+00:00,2021,2021-09-07 09:30:00+00:00,2021-09-07 10:00:00+00:00,30.0,2021-09-07 14:15:00+00:00,TP,50823.57,49861.558392857136,51222.0,641.3410714285758,1.4603771126907628,True,RECOVERED_FIRST,2021-09-07 12:15:00+00:00,50787.8,135.0,1.4442262446714669,False,
450,2021-09-18 21:15:00+00:00,2021,2021-09-19 01:15:00+00:00,2021-09-19 02:15:00+00:00,60.0,2021-09-19 06:00:00+00:00,SL,47722.53,48112.260357142855,47813.66,389.7303571428568,-1.0612250612832126,True,PERSISTENT_FAILURE_FIRST,2021-09-19 02:45:00+00:00,48008.17,30.0,-0.26708301068962526,False,
492,2021-10-16 10:15:00+00:00,2021,2021-10-16 12:45:00+00:00,2021-10-16 13:30:00+00:00,45.0,2021-10-16 14:00:00+00:00,SL,60723.66,61309.776071428576,60947.51,586.1160714285713,-1.0518017360042673,True,UNRESOLVED,,,,,True,2021-10-16 14:00:00+00:00
540,2021-11-12 04:45:00+00:00,2021,2021-11-12 09:45:00+00:00,2021-11-12 10:15:00+00:00,30.0,2021-11-12 16:00:00+00:00,TP,63867.68,62866.33625,64105.0,667.5625000000011,1.452163520269635,True,RECOVERED_FIRST,2021-11-12 10:45:00+00:00,63708.0,30.0,1.2608014230877234,False,
