target,model,n,base,auc
future_terminal_side30,SNAPSHOT,12027,0.5231562318117569,0.7897582959166538
future_terminal_side30,SEQUENCE,12027,0.5231562318117569,0.7931856286694995
future_terminal_side30,MULTISCALE,12027,0.5231562318117569,0.7927155114838399
future_hold_2of3_30,SNAPSHOT,12027,0.4710235303899559,0.8683361851993565
future_hold_2of3_30,SEQUENCE,12027,0.4710235303899559,0.8706099182785698
future_hold_2of3_30,MULTISCALE,12027,0.4710235303899559,0.8704048169945503
future_no_deep_reclaim30,SNAPSHOT,12027,0.28826806352373824,0.8879794201132709
future_no_deep_reclaim30,SEQUENCE,12027,0.28826806352373824,0.8923243249435938
future_no_deep_reclaim30,MULTISCALE,12027,0.28826806352373824,0.8922635044976804
