period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,positive_periods,periods_total,accepted_rejection_exits,mean_saved_R,total_saved_R,mean_given_up_R,total_given_up_R,net_local_delta_R,initial_stop_share,median_saved_R_on_rescued
historical,CONTROL,5297,0.39022087974325087,0.1322202021482657,1.2256575126182987,700.3704107793633,31.976920699121933,21.902371944106395,14,5,5,0,0.0,0.0,0.0,0.0,0.0,,
historical,ACCEPTED_REJECTION_EXIT_3M,5304,0.35878582202111614,0.10700075363111224,1.194452915165588,567.5319972594193,46.283907025077156,12.261972545920203,15,5,5,788,0.3546396560437586,279.45604896248176,0.466537908727917,367.6318720775986,-88.17582311511683,0.7690355329949239,0.4947386729280864
forward_2026,CONTROL,544,0.3694852941176471,0.06525338378964178,1.1054907878098506,35.49784078156513,27.632952848676066,1.2846198875653596,16,4,6,0,0.0,0.0,0.0,0.0,0.0,,
forward_2026,ACCEPTED_REJECTION_EXIT_3M,544,0.34375,0.06005731072904357,1.1030628729983007,32.6711770365997,19.855756867241023,1.6454259213106186,13,4,6,72,0.38177344690860154,27.48768817741931,0.33078547932067714,23.816554511088754,3.671133666330559,0.7916666666666666,0.5406327550889661
